epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,tn_m,tp_m
0,0.5554801821708679,139.84796142578125,9.310492515563965,0.17305311560630798,167.9785919189453,88.02141571044922,28.1306209564209,78.71092224121094
1,0.5653529167175293,130.1713104248047,10.289079666137695,0.17039687931537628,157.32333374023438,98.6766586303711,27.152034759521484,88.38758087158203
2,0.5678378343582153,127.92505645751953,10.370450019836426,0.16902315616607666,154.99571228027344,101.00428009033203,27.070663452148438,90.63383483886719
3,0.5741491913795471,127.96573638916016,9.942184448242188,0.167899027466774,155.46466064453125,100.53533172607422,27.498929977416992,90.59314727783203
4,0.580110490322113,129.1092071533203,9.274089813232422,0.16707204282283783,157.27622985839844,98.72377014160156,28.167022705078125,89.44967651367188
5,0.5801869034767151,130.4967803955078,8.980728149414062,0.1664203554391861,158.95716857910156,97.0428237915039,28.460386276245117,88.06209564208984
6,0.5816501975059509,131.19058227539062,8.747323036193848,0.16590605676174164,159.88436889648438,96.11563110351562,28.693790435791016,87.3683090209961
7,0.5851362943649292,128.61669921875,8.952890396118164,0.16527239978313446,157.10491943359375,98.89507293701172,28.488222122192383,89.94218444824219
8,0.5888825058937073,128.62527465820312,8.541755676269531,0.1649598777294159,157.52462768554688,98.47537231445312,28.899356842041016,89.9336166381836
9,0.5855103731155396,128.48179626464844,8.830835342407227,0.16463002562522888,157.09207153320312,98.90792083740234,28.610279083251953,90.07708740234375
