epoch,balanced_acc_m,fn_m,fp_m,loss,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m
0,0.5006251931190491,40.026668548583984,4.946666717529297,0.3151191771030426,0.8401548862457275,250.0800018310547,0.9770756959915161,5.920000076293945,0.023907436057925224,0.024174680933356285,210.05332946777344,0.9733333587646484
1,0.5,41.0,0.0,0.28700846433639526,0.83984375,256.0,1.0,0.0,0.0,0.0,215.0,0.0
2,0.5,41.0,0.0,0.2648982107639313,0.83984375,256.0,1.0,0.0,0.0,0.0,215.0,0.0
3,0.4999696910381317,41.0,0.013333333656191826,0.24795690178871155,0.8398364186286926,255.98666381835938,0.9999393820762634,0.013333333656191826,0.0,0.0,214.98666381835938,0.0
4,0.5,41.0,0.0,0.23570413887500763,0.83984375,256.0,1.0,0.0,0.0,0.0,215.0,0.0
5,0.5,41.0,0.0,0.22821487486362457,0.83984375,256.0,1.0,0.0,0.0,0.0,215.0,0.0
6,0.500175416469574,40.98666763305664,0.0,0.22417312860488892,0.839888334274292,255.98666381835938,1.0,0.013333333656191826,0.013333331793546677,0.0003508772060740739,215.0,0.013333333656191826
7,0.5002689957618713,40.973331451416016,0.02666666731238365,0.22182953357696533,0.8399158120155334,255.94667053222656,0.9998770952224731,0.0533333346247673,0.026666663587093353,0.0006609547417610884,214.97332763671875,0.02666666731238365
8,0.5005526542663574,40.9466667175293,0.03999999910593033,0.21976056694984436,0.8399877548217773,255.9066619873047,0.9998042583465576,0.09333333373069763,0.05333332717418671,0.0013010810362175107,214.9600067138672,0.0533333346247673
9,0.5017390847206116,40.84000015258789,0.1599999964237213,0.21762347221374512,0.8402813673019409,255.67999267578125,0.9992625117301941,0.3199999928474426,0.14444443583488464,0.004215799737721682,214.83999633789062,0.1599999964237213
10,0.5026312470436096,40.746665954589844,0.23999999463558197,0.21552176773548126,0.8405311703681946,255.5066680908203,0.9988864064216614,0.4933333396911621,0.23999997973442078,0.006376049946993589,214.75999450683594,0.25333333015441895
11,0.5042399168014526,40.599998474121094,0.2800000011920929,0.21275655925273895,0.8409909009933472,255.32000732421875,0.9987077116966248,0.6800000071525574,0.31999996304512024,0.009772004559636116,214.72000122070312,0.4000000059604645
12,0.5074375867843628,40.31999969482422,0.4000000059604645,0.21069136261940002,0.8418382406234741,254.9199981689453,0.9981463551521301,1.0800000429153442,0.49333328008651733,0.016728706657886505,214.60000610351562,0.6800000071525574
13,0.5102884769439697,40.08000183105469,0.36000001430511475,0.208327054977417,0.8426426649093628,254.72000122070312,0.998324990272522,1.2799999713897705,0.5822221636772156,0.022251993417739868,214.63999938964844,0.9200000166893005
14,0.5123752951622009,39.86666488647461,0.5600000023841858,0.2046898454427719,0.8432185053825378,254.30667114257812,0.997388482093811,1.693333387374878,0.5675555467605591,0.027362167835235596,214.44000244140625,1.1333333253860474
15,0.5122934579849243,39.85333251953125,0.6933333277702332,0.20241138339042664,0.8431794047355652,254.16000366210938,0.9967569708824158,1.840000033378601,0.5573333501815796,0.027829885482788086,214.30667114257812,1.1466666460037231
16,0.5159506797790527,39.54666519165039,0.7599999904632568,0.1988392323255539,0.8441635370254517,253.7866668701172,0.9964595437049866,2.2133333683013916,0.6168889403343201,0.03544187173247337,214.24000549316406,1.4533333778381348
17,0.5162645578384399,39.49333190917969,0.9333333373069763,0.19607195258140564,0.8442339301109314,253.55999755859375,0.9956454634666443,2.440000057220459,0.6077777743339539,0.03688368201255798,214.06666564941406,1.506666660308838
18,0.5201782584190369,39.14666748046875,0.9333333373069763,0.192148819565773,0.8453917503356934,253.2133331298828,0.9956690669059753,2.7866666316986084,0.6226349472999573,0.04468727111816406,214.06666564941406,1.8533333539962769
19,0.5258234739303589,38.746665954589844,0.7866666913032532,0.18731839954853058,0.8468315601348877,252.9600067138672,0.996344804763794,3.0399999618530273,0.7218095660209656,0.05530219525098801,214.2133331298828,2.253333330154419
20,0.5271263122558594,38.62666702270508,0.8266666531562805,0.18416398763656616,0.8472011089324951,252.8000030517578,0.9961618185043335,3.200000047683716,0.7380000948905945,0.05809047818183899,214.17333984375,2.373333215713501
21,0.5298324823379517,38.38666534423828,0.9333333373069763,0.17926974594593048,0.8479437232017517,252.45333862304688,0.9956517815589905,3.5466666221618652,0.6844974160194397,0.06401319801807404,214.06666564941406,2.613333225250244
22,0.5351338982582092,37.959999084472656,0.8266666531562805,0.1754852682352066,0.8494370579719543,252.13333129882812,0.9961557984352112,3.866666555404663,0.7846983075141907,0.07411202788352966,214.17333984375,3.0399999618530273
23,0.533413290977478,38.09333419799805,1.0133333206176758,0.1738356053829193,0.8489040732383728,252.0800018310547,0.9952828884124756,3.9200000762939453,0.7228571176528931,0.07154384255409241,213.98666381835938,2.9066667556762695
24,0.5353266596794128,37.893333435058594,1.1333333253860474,0.16964191198349,0.8495002388954163,251.75999450683594,0.9947426319122314,4.239999771118164,0.7133333086967468,0.07591062784194946,213.86666870117188,3.1066665649414062
25,0.5352490544319153,37.91999816894531,1.0133333206176758,0.16705317795276642,0.8494712114334106,251.9066619873047,0.9952796697616577,4.0933332443237305,0.7272379994392395,0.07521838694810867,213.98666381835938,3.0799999237060547
26,0.5453325510025024,37.119998931884766,1.0533332824707031,0.16036130487918854,0.852175235748291,251.06666564941406,0.9950882792472839,4.933333396911621,0.7898640632629395,0.09557681530714035,213.94667053222656,3.880000114440918
27,0.5605621933937073,35.82666778564453,1.2133333683013916,0.15773648023605347,0.8565075397491455,249.6133270263672,0.9943578243255615,6.386666774749756,0.7992562055587769,0.12676624953746796,213.7866668701172,5.173333168029785
28,0.5733956694602966,34.78666687011719,1.3866666555404663,0.15414340794086456,0.8601086139678955,248.39999389648438,0.9935639500617981,7.599999904632568,0.8041917681694031,0.15322735905647278,213.6133270263672,6.2133331298828125
29,0.5944491028785706,32.813331604003906,2.4133334159851074,0.15238367021083832,0.8663983941078186,245.39999389648438,0.9887847900390625,10.600000381469727,0.7749598622322083,0.20011350512504578,212.586669921875,8.186666488647461
