epoch,accuracy_m,f1_m,fn_m,fp_m,loss,neg_f1_m,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m,val_accuracy_m,val_f1_m,val_fn_m,val_fp_m,val_loss,val_neg_f1_m,val_neg_precision_m,val_neg_pred_m,val_neg_recall_m,val_pos_pred_m,val_precision_m,val_recall_m,val_tn_m,val_tp_m
0,0.49730008840560913,0.3592217266559601,72.02205657958984,56.66911697387695,0.6915108561515808,0.45790132880210876,0.5231660604476929,143.24264526367188,0.559706449508667,112.75735473632812,0.354483038187027,0.44035670161247253,71.22058868408203,56.088233947753906,0.5003300905227661,0.6663801074028015,0.0,127.91548919677734,0.6933545470237732,0.0,0.0,0.0,0.0,256.0,0.5003300905227661,1.0,0.0,128.08450317382812
1,0.4998563826084137,0.41431885957717896,64.39705657958984,63.639705657958984,0.691308319568634,0.44253918528556824,0.5102030038833618,128.64706420898438,0.5037271976470947,127.35294342041016,0.413221538066864,0.4988783597946167,64.25,63.713233947753906,0.5009903311729431,0.6666741371154785,0.0,127.74647521972656,0.6934260725975037,0.00263479957357049,0.15492956340312958,0.1690140813589096,0.001329535385593772,255.8309783935547,0.5006623864173889,1.0,0.1690140813589096,128.08450317382812
2,0.5004308223724365,0.6027678847312927,28.316177368164062,99.57353210449219,0.690892219543457,0.28135794401168823,0.5252281427383423,56.632354736328125,0.22260326147079468,199.36764526367188,0.5026301741600037,0.7801511287689209,28.316177368164062,99.79412078857422,0.5100682377815247,0.6705711483955383,0.09859155118465424,125.32394409179688,0.6927013993263245,0.03931397944688797,0.8422535061836243,2.690140962600708,0.0202463548630476,253.3098602294922,0.5052590370178223,0.9992302656173706,2.5915493965148926,127.98591613769531
3,0.4975011348724365,0.5960029363632202,28.58823585510254,100.05146789550781,0.6906408667564392,0.26768749952316284,0.549477219581604,56.42647171020508,0.21856829524040222,199.5735321044922,0.49864038825035095,0.777967631816864,27.83823585510254,99.52205657958984,0.5151848793029785,0.6720433831214905,0.6056337952613831,123.50704193115234,0.690501868724823,0.06593406200408936,0.8538452386856079,5.014084339141846,0.03462226316332817,250.9859161376953,0.5079869031906128,0.9953341484069824,4.408450603485107,127.47887420654297
4,0.5005744695663452,0.5990069508552551,19.84558868408203,108.00735473632812,0.6902500987052917,0.16669857501983643,0.5791983604431152,39.72793960571289,0.15547166764736176,216.27206420898438,0.49206307530403137,0.8450448513031006,19.882352828979492,108.26470947265625,0.5133692622184753,0.6692934036254883,1.7183098793029785,122.8591537475586,0.6873717904090881,0.0747203603386879,0.7351125478744507,6.7746477127075195,0.03969261795282364,249.22535705566406,0.5071239471435547,0.9866998195648193,5.056337833404541,126.36619567871094
5,0.5033755302429199,0.5585614442825317,30.014705657958984,97.11764526367188,0.6901727914810181,0.23898042738437653,0.5589998960494995,60.786766052246094,0.24176298081874847,195.2058868408203,0.500002384185791,0.766706645488739,30.772058486938477,98.0882339477539,0.5129841566085815,0.6688046455383301,1.8873239755630493,122.78873443603516,0.6860648393630981,0.0756092220544815,0.7201141715049744,7.014084339141846,0.040206823498010635,248.9859161376953,0.5069083571434021,0.9853298664093018,5.126760482788086,126.19718170166016
6,0.5026424527168274,0.596222460269928,20.71323585510254,106.61029052734375,0.6899881958961487,0.17511846125125885,0.5903698205947876,41.992645263671875,0.16795693337917328,214.00735473632812,0.4895021319389343,0.8395640850067139,21.27941131591797,107.39705657958984,0.509518027305603,0.6650052070617676,3.1549296379089355,122.408447265625,0.6851154565811157,0.08021794259548187,0.6318918466567993,8.661972045898438,0.043206725269556046,247.33802795410156,0.5051875114440918,0.975484311580658,5.507042407989502,124.92958068847656
7,0.5011350512504578,0.5614429116249084,27.492647171020508,100.2132339477539,0.6896677017211914,0.2041771560907364,0.5686662197113037,55.16911697387695,0.22032183408737183,200.8235321044922,0.5147320032119751,0.7891704440116882,27.676469802856445,100.61029052734375,0.5070972442626953,0.6623265147209167,4.02816915512085,122.1549301147461,0.6854050159454346,0.0830584391951561,0.58233243227005,9.788732528686523,0.04513418674468994,246.21127319335938,0.5039342641830444,0.9686464071273804,5.760563373565674,124.05633544921875
8,0.5047392249107361,0.5274710655212402,42.59558868408203,84.19117736816406,0.6896247863769531,0.313630610704422,0.5443262457847595,86.29412078857422,0.3428875505924225,169.7058868408203,0.5093110799789429,0.6683158278465271,43.69852828979492,85.51470947265625,0.5057768225669861,0.660591721534729,4.633802890777588,121.88732147216797,0.6853840947151184,0.08645591884851456,0.5595840215682983,10.661972045898438,0.0472610704600811,245.33802795410156,0.5032349228858948,0.9637835621833801,6.02816915512085,123.4507064819336
9,0.50341796875,0.6044141054153442,22.698530197143555,104.42646789550781,0.6895654797554016,0.19798272848129272,0.573148250579834,46.161766052246094,0.18353493511676788,209.83824157714844,0.5014113783836365,0.8228408098220825,23.46323585510254,105.4117660522461,0.5,0.6549336314201355,6.309859275817871,121.69013977050781,0.6848899126052856,0.08807732909917831,0.48836609721183777,12.535211563110352,0.04881005361676216,243.46478271484375,0.5002605319023132,0.950764536857605,6.2253522872924805,121.77465057373047
