epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m
0,0.49496084451675415,100.86724090576172,20.60385513305664,0.20658642053604126,117.68736267089844,138.31263732910156,0.8539648652076721,0.5387335419654846,16.82012939453125,117.70877838134766
1,0.4973382353782654,98.17987060546875,20.830835342407227,0.17479711771011353,114.77301788330078,141.2269744873047,0.8590036630630493,0.5508615374565125,16.59314727783203,120.39614868164062
2,0.49766191840171814,105.80728149414062,19.597431182861328,0.17358005046844482,123.63383483886719,132.3661651611328,0.8492028713226318,0.5164169669151306,17.826553344726562,112.76873779296875
3,0.5003342032432556,117.91648864746094,17.220556259155273,0.17328119277954102,138.1199188232422,117.88008880615234,0.7973636984825134,0.46056994795799255,20.203426361083984,100.65953063964844
4,0.5010395050048828,106.64668273925781,19.124197006225586,0.17309430241584778,124.94646453857422,131.05352783203125,0.7842460870742798,0.5122238397598267,18.299785614013672,111.92933654785156
5,0.49914759397506714,107.8458251953125,19.177730560302734,0.1730271577835083,126.09207916259766,129.90792846679688,0.785049319267273,0.5073087215423584,18.246252059936523,110.73019409179688
6,0.5022464990615845,107.69378662109375,18.959314346313477,0.17296743392944336,126.15845489501953,129.84153747558594,0.7656013369560242,0.5078923106193542,18.46466827392578,110.8822250366211
7,0.5004677176475525,100.38115692138672,20.226980209350586,0.17287662625312805,117.57815551757812,138.42184448242188,0.7869763374328613,0.5409096479415894,17.197002410888672,118.19486236572266
8,0.5042698383331299,101.19271850585938,19.83511734008789,0.1728030890226364,118.78158569335938,137.21841430664062,0.8210408091545105,0.5372617244720459,17.588865280151367,117.38330078125
9,0.5000923871994019,105.17344665527344,19.434688568115234,0.17276808619499207,123.1627426147461,132.83511352539062,0.844927966594696,0.5188222527503967,17.989294052124023,113.40042877197266
10,0.5000072717666626,91.8372573852539,21.770877838134766,0.172683447599411,107.49036407470703,148.5096435546875,0.8611307740211487,0.5800198316574097,15.653104782104492,126.73875427246094
11,0.5028539896011353,100.29978942871094,20.152034759521484,0.17272502183914185,117.57173156738281,138.42398071289062,0.8442556858062744,0.54155433177948,17.271947860717773,118.2719497680664
12,0.5012174844741821,90.15203094482422,22.040685653686523,0.17256680130958557,105.53533172607422,150.46466064453125,0.8418238162994385,0.5880297422409058,15.38329792022705,128.42398071289062
13,0.5048257112503052,82.81584930419922,22.905780792236328,0.17243261635303497,97.33404541015625,158.66595458984375,0.8518486022949219,0.6211884617805481,14.518200874328613,135.7601776123047
14,0.5054000020027161,84.77730560302734,22.51820182800293,0.17235292494297028,99.6830825805664,156.31690979003906,0.859624981880188,0.6121618151664734,14.905781745910645,133.79872131347656
15,0.5077724456787109,84.53961181640625,22.36188507080078,0.17224915325641632,99.60171508789062,156.39828491210938,0.8632920980453491,0.6131665110588074,15.062098503112793,134.03640747070312
16,0.5052569508552551,81.92291259765625,22.959314346313477,0.17218321561813354,96.38758087158203,159.6124267578125,0.8614730834960938,0.6250066161155701,14.464668273925781,136.65310668945312
17,0.5062592625617981,90.2569580078125,21.41327667236328,0.1720598191022873,106.26766967773438,149.73233032226562,0.8633449673652649,0.5866808295249939,16.010705947875977,128.31906127929688
18,0.5048449039459229,102.79443359375,19.449678421020508,0.17238476872444153,120.76873779296875,135.23126220703125,0.8574255704879761,0.529676079750061,17.97430419921875,115.78158569335938
19,0.5056634545326233,89.70663452148438,21.556745529174805,0.17213523387908936,105.5738754272461,150.42611694335938,0.8583851456642151,0.5893478393554688,15.86723804473877,128.869384765625
20,0.5060387849807739,88.9850082397461,21.7152042388916,0.17210710048675537,104.69378662109375,151.30621337890625,0.8592852354049683,0.5928363800048828,15.708779335021973,129.59100341796875
21,0.5051171779632568,83.00642395019531,22.685224533081055,0.17188574373722076,97.74517822265625,158.25482177734375,0.8656502366065979,0.6197983026504517,14.738758087158203,135.56959533691406
22,0.5082024931907654,95.36402893066406,20.426124572753906,0.17184387147426605,112.36188507080078,143.63812255859375,0.8661667108535767,0.5636020302772522,16.99785804748535,123.21199035644531
23,0.5120611190795898,96.56959533691406,19.899356842041016,0.17145827412605286,114.0942153930664,141.90577697753906,0.869094967842102,0.5577650666236877,17.524625778198242,122.00642395019531
24,0.5139794945716858,102.34903717041016,18.721628189086914,0.17155678570270538,121.0513916015625,134.9486083984375,0.875139594078064,0.5312414169311523,18.702356338500977,116.22698211669922
25,0.5157062411308289,110.8608169555664,17.306209564208984,0.17193029820919037,130.9785919189453,125.02141571044922,0.8663356900215149,0.4930056631565094,20.117773056030273,107.71520233154297
26,0.5147153735160828,98.56317138671875,19.312633514404297,0.17163625359535217,116.67451477050781,139.3254852294922,0.8668957352638245,0.5485551953315735,18.11134910583496,120.01284790039062
27,0.5215035080909729,109.39186096191406,16.967880249023438,0.17149677872657776,129.84796142578125,126.15203094482422,0.8703537583351135,0.49906933307647705,20.45610237121582,109.18415069580078
