epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,tn_m,tp_m
0,0.539655864238739,137.066162109375,12.309774398803711,0.2036370038986206,170.01805114746094,85.9819564819336,32.951881408691406,73.67218017578125
1,0.559462308883667,136.57142639160156,10.64962387084961,0.1997353434562683,171.18345642089844,84.8150405883789,34.612030029296875,74.16541290283203
2,0.5669369101524353,133.83157348632812,10.5022554397583,0.1983192414045334,168.59097290039062,87.40901947021484,34.7593994140625,76.90676879882812
3,0.576598048210144,133.38645935058594,9.760902404785156,0.19673679769039154,168.88722229003906,87.11278533935547,35.50075149536133,77.35188293457031
4,0.5799762606620789,129.6210479736328,10.209022521972656,0.1958974450826645,164.67369079589844,91.3263168334961,35.05263137817383,81.11729431152344
5,0.5828748941421509,128.11729431152344,10.251128196716309,0.19510972499847412,163.12782287597656,92.87217712402344,35.01052474975586,82.62105560302734
6,0.5865479707717896,125.53984832763672,10.4481201171875,0.1940852403640747,160.35337829589844,95.64661407470703,34.813533782958984,85.19849395751953
7,0.5891627669334412,124.61503601074219,10.357894897460938,0.19311927258968353,159.518798828125,96.481201171875,34.90375900268555,86.12330627441406
8,0.5917602777481079,123.4992446899414,10.380451202392578,0.1929871290922165,158.3804473876953,97.61955261230469,34.881202697753906,87.23909759521484
9,0.5941573977470398,121.24210357666016,10.60902214050293,0.19210512936115265,155.8947296142578,100.10526275634766,34.65262985229492,89.4962387084961
