epoch,accuracy_m,f1_m,loss,neg_f1_m,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,val_accuracy_m,val_f1_m,val_loss,val_neg_f1_m,val_neg_precision_m,val_neg_pred_m,val_neg_recall_m,val_pos_pred_m,val_precision_m,val_recall_m
0,0.6593486666679382,0.6384914517402649,0.6159378886222839,0.6672438383102417,0.6515446305274963,139.10714721679688,0.7027879953384399,117.13838958740234,0.687163770198822,0.6163031458854675,0.7416969537734985,0.7585721611976624,0.5330781936645508,0.7206418514251709,0.7698131799697876,112.65908813476562,0.6789392828941345,146.52272033691406,0.7201627492904663,0.8028636574745178
1,0.717957615852356,0.7011610865592957,0.5470147728919983,0.7289416193962097,0.699797511100769,141.0892791748047,0.7689513564109802,115.15625,0.7503119707107544,0.6670550107955933,0.7881379723548889,0.7815192937850952,0.4547280967235565,0.7932042479515076,0.761600136756897,138.90908813476562,0.8287745118141174,120.2727279663086,0.8182926177978516,0.7490049004554749
2,0.7363646626472473,0.7204928994178772,0.5258200168609619,0.7469676733016968,0.7170968651771545,141.08482360839844,0.7875092625617981,115.16071319580078,0.7701879143714905,0.6855320334434509,0.807919442653656,0.8018924593925476,0.4339771866798401,0.812338650226593,0.7799134850502014,138.81817626953125,0.8484365344047546,120.36363983154297,0.8394851088523865,0.7682878971099854
3,0.7479817271232605,0.7321295142173767,0.5078396201133728,0.7587129473686218,0.7273308634757996,141.375,0.8002588152885437,114.87053680419922,0.7836506962776184,0.6955054402351379,0.8053287267684937,0.7916055917739868,0.4257037043571472,0.8161789178848267,0.7611851096153259,147.72727966308594,0.8809556365013123,111.45454406738281,0.8634359240531921,0.7318994402885437
4,0.7615694999694824,0.7475621104240417,0.4858373999595642,0.7707173228263855,0.741662323474884,140.39732360839844,0.8098997473716736,115.84821319580078,0.796252429485321,0.7129769921302795,0.8292566537857056,0.833052396774292,0.4028945565223694,0.8241071105003357,0.8348276615142822,124.5,0.8146457672119141,134.68182373046875,0.8236900568008423,0.8435325622558594
5,0.7730809450149536,0.7618193030357361,0.46432965993881226,0.7804718613624573,0.7555721998214722,138.63392639160156,0.8150497078895569,117.61161041259766,0.8048438429832458,0.7317496538162231,0.8215124011039734,0.8305662274360657,0.4184790849685669,0.8100574612617493,0.8477268815040588,116.88636016845703,0.7763566970825195,142.2954559326172,0.799416184425354,0.864995002746582
6,0.7842580676078796,0.7739366888999939,0.4444355070590973,0.7915083765983582,0.7653149962425232,138.4375,0.8251713514328003,117.80803680419922,0.8136962652206421,0.7435899376869202,0.8237524032592773,0.8237870931625366,0.40033474564552307,0.8224571347236633,0.8136178851127625,130.68182373046875,0.8327845931053162,128.5,0.8340499401092529,0.8148849606513977
7,0.7946577072143555,0.7870630621910095,0.4275447130203247,0.7994751930236816,0.7797747850418091,135.83035278320312,0.825063169002533,120.41517639160156,0.8173502087593079,0.7636486291885376,0.8242536783218384,0.8276056051254272,0.40117090940475464,0.8196027278900146,0.825640857219696,125.90908813476562,0.8149588108062744,133.27272033691406,0.8228841423988342,0.8336148858070374
8,0.799824595451355,0.7935521006584167,0.41902533173561096,0.8032581210136414,0.7881725430488586,134.2455291748047,0.8240404725074768,122.0,0.8191365003585815,0.7748309969902039,0.814169704914093,0.7996166348457336,0.4028688967227936,0.8257362246513367,0.7652624249458313,149.75,0.8979291915893555,109.43181610107422,0.8810485601425171,0.733142614364624
9,0.8026885986328125,0.7975749969482422,0.41187572479248047,0.8052924275398254,0.793013870716095,133.33482360839844,0.8235557675361633,122.91071319580078,0.8203877806663513,0.7818160653114319,0.8240241408348083,0.8121244311332703,0.3798351287841797,0.8335430026054382,0.7782442569732666,147.27272033691406,0.8985423445701599,111.90908813476562,0.8841617107391357,0.752008855342865
10,0.8096743226051331,0.8046632409095764,0.4009731411933899,0.8124395608901978,0.8003626465797424,133.04464721679688,0.8296050429344177,123.20088958740234,0.8258190751075745,0.7897191047668457,0.8252302408218384,0.8267562985420227,0.4002540111541748,0.8225142955780029,0.8191810250282288,128.84091186523438,0.8270049691200256,130.34091186523438,0.8309781551361084,0.8236175775527954
11,0.812002956867218,0.8075541257858276,0.39430731534957886,0.8139709234237671,0.8050625920295715,132.20982360839844,0.8282822370529175,124.03571319580078,0.8262079954147339,0.7949808239936829,0.824974775314331,0.815320611000061,0.4017946720123291,0.8328325152397156,0.7839493155479431,144.72727966308594,0.8895324468612671,114.45454406738281,0.876698911190033,0.763069748878479
12,0.811148464679718,0.8074652552604675,0.39364802837371826,0.8128728270530701,0.8046530485153198,131.95535278320312,0.8272662162780762,124.29017639160156,0.8256760239601135,0.7961397767066956,0.8325154781341553,0.8216779828071594,0.3803863227367401,0.8412792086601257,0.7872232794761658,146.5454559326172,0.9046894311904907,112.63636016845703,0.8913898468017578,0.7632217407226562
13,0.8162835836410522,0.8127074241638184,0.385805606842041,0.8173996210098267,0.8116925954818726,131.3169708251953,0.8293215036392212,124.92857360839844,0.8294970393180847,0.8029519319534302,0.8318994641304016,0.8227682113647461,0.3714349567890167,0.8392514586448669,0.7906163930892944,144.40908813476562,0.8953628540039062,114.7727279663086,0.8834419846534729,0.7707920670509338
14,0.8188777565956116,0.8153740167617798,0.3799505829811096,0.8200799226760864,0.8130110502243042,131.54910278320312,0.8325499892234802,124.69642639160156,0.8321601748466492,0.8047192692756653,0.8283169269561768,0.8201614618301392,0.39065057039260864,0.83489990234375,0.7907463312149048,142.81817626953125,0.8854551315307617,116.36363983154297,0.8739997744560242,0.7735332250595093
15,0.8204697966575623,0.8176167607307434,0.37372374534606934,0.8214581608772278,0.815279483795166,130.9330291748047,0.8321159482002258,125.3125,0.8314117193222046,0.8087347745895386,0.8372153639793396,0.8286539316177368,0.37174656987190247,0.8441038131713867,0.7964457869529724,144.0454559326172,0.8991254568099976,115.13636016845703,0.8881294131278992,0.7777969241142273
16,0.8233389854431152,0.820486843585968,0.37464889883995056,0.8235682249069214,0.8199812173843384,130.79017639160156,0.8341813087463379,125.45536041259766,0.8358839154243469,0.8120020627975464,0.8283374905586243,0.8223251700401306,0.3935689926147461,0.8329809308052063,0.7973417043685913,139.63636779785156,0.8731042742729187,119.54545593261719,0.8642354607582092,0.7852591872215271
17,0.8281171917915344,0.8261948823928833,0.3605025112628937,0.828360378742218,0.8237848877906799,130.2544708251953,0.8371624946594238,125.99107360839844,0.8376491665840149,0.8192495703697205,0.8164779543876648,0.8233492374420166,0.4111603796482086,0.8078619241714478,0.8301704525947571,121.0227279663086,0.787743330001831,138.15908813476562,0.8040267825126648,0.8446243405342102
18,0.8301779627799988,0.8276630640029907,0.3586566746234894,0.8307303786277771,0.8265752196311951,130.45982360839844,0.8398112654685974,125.78571319580078,0.8404057621955872,0.8202921748161316,0.8245936036109924,0.8107223510742188,0.3990905284881592,0.8357560634613037,0.7732886672019958,150.15908813476562,0.9104508757591248,109.0227279663086,0.8949136734008789,0.7419500946998596
19,0.8327856063842773,0.8301706910133362,0.35197708010673523,0.8337965607643127,0.8275838494300842,130.85714721679688,0.8444159626960754,125.38838958740234,0.8436763882637024,0.8214519619941711,0.8132505416870117,0.8090323805809021,0.43963345885276794,0.816249430179596,0.7889010906219482,136.93182373046875,0.8467439413070679,122.25,0.8402096033096313,0.7811006307601929
