epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_pred_m,val_pos_pred_m,val_precision_m,val_recall_m,val_tn_m,val_tp_m
0,0.5021311640739441,37.586666107177734,95.44000244140625,0.34101808071136475,86.36000061035156,169.63999938964844,0.4404623508453369,0.6652014851570129,48.77333450317383,74.19999694824219,0.5,178.0,0.0,0.6934224367141724,256.0,0.0,0.0,0.0,78.0,0.0
1,0.5178821086883545,41.14666748046875,86.5999984741211,0.3401499390602112,98.76000213623047,157.24000549316406,0.45373815298080444,0.6342218518257141,57.61333465576172,70.63999938964844,0.5,178.0,0.0,0.696090579032898,256.0,0.0,0.0,0.0,78.0,0.0
2,0.5533216595649719,46.30666732788086,69.13333129882812,0.3364422023296356,121.38666534423828,134.6133270263672,0.48768606781959534,0.5859060883522034,75.08000183105469,65.4800033569336,0.5,178.0,0.0,0.7004115581512451,256.0,0.0,0.0,0.0,78.0,0.0
3,0.5771217942237854,48.66666793823242,59.22666549682617,0.3315129578113556,133.65333557128906,122.34666442871094,0.5173842310905457,0.564649760723114,84.98666381835938,63.119998931884766,0.5,178.0,0.0,0.7009967565536499,256.0,0.0,0.0,0.0,78.0,0.0
4,0.589764416217804,48.69333267211914,55.573333740234375,0.3268716633319855,137.3333282470703,118.66666412353516,0.5321518182754517,0.564584493637085,88.63999938964844,63.09333419799805,0.5,178.0,0.0,0.7001234889030457,256.0,0.0,0.0,0.0,78.0,0.0
5,0.598794162273407,48.08000183105469,53.813331604003906,0.32281386852264404,138.47999572753906,117.5199966430664,0.5431291460990906,0.5705307126045227,90.4000015258789,63.7066650390625,0.5068424344062805,171.0,2.0,0.702311098575592,247.0,9.0,0.7777777910232544,0.03932584449648857,76.0,7.0
6,0.6111987233161926,49.400001525878906,48.46666717529297,0.31911659240722656,145.14666748046875,110.85333251953125,0.5638445615768433,0.5581522583961487,95.74666595458984,62.38666534423828,0.4890521764755249,118.0,28.0,0.6994055509567261,168.0,88.0,0.6818181872367859,0.33707866072654724,50.0,60.0
7,0.6227807402610779,48.54666519165039,46.3466682434082,0.3165227770805359,146.413330078125,109.586669921875,0.578822910785675,0.5663520693778992,97.86666870117188,63.2400016784668,0.4940218925476074,82.0,43.0,0.6949638724327087,117.0,139.0,0.6906474828720093,0.5393258333206177,35.0,96.0
8,0.6236308813095093,47.040000915527344,48.13333511352539,0.3159927725791931,143.1199951171875,112.87999725341797,0.5746643543243408,0.5801982879638672,96.08000183105469,64.74666595458984,0.5148372650146484,86.0,38.0,0.7009146213531494,126.0,130.0,0.7076923251152039,0.516853928565979,40.0,92.0
9,0.6308159232139587,45.439998626708984,48.14666748046875,0.3122023046016693,141.5066680908203,114.49333190917969,0.5820354223251343,0.5944324731826782,96.06666564941406,66.34666442871094,0.5164937973022461,74.0,43.0,0.6953026056289673,109.0,147.0,0.7074829936027527,0.584269642829895,35.0,104.0
