epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_pred_m,val_pos_pred_m,val_precision_m,val_recall_m,val_tn_m,val_tp_m
0,0.5009478330612183,112.97034454345703,21.59967041015625,0.21785162389278412,138.32618713378906,117.67215728759766,0.8176125884056091,0.46002060174942017,25.35584831237793,96.0724868774414,0.4995880722999573,0.5333333611488342,20.226667404174805,0.688997745513916,0.5600000023841858,255.44000244140625,0.9208168387413025,0.9977371096611023,0.02666666731238365,235.2133331298828
1,0.5018247365951538,119.8632583618164,19.990116119384766,0.20905441045761108,146.8286590576172,109.16803741455078,0.810585081577301,0.4271039068698883,26.965404510498047,89.17792510986328,0.5040775537490845,233.18666076660156,0.05999999865889549,0.6985756158828735,253.3800048828125,2.619999885559082,0.9044443964958191,0.01085487101227045,20.19333267211914,2.559999942779541
2,0.4997473657131195,106.65733337402344,23.102142333984375,0.2084045559167862,130.51071166992188,125.48600006103516,0.70451819896698,0.4900798201560974,23.853376388549805,102.38385772705078,0.4999828040599823,0.08666666597127914,20.246665954589844,0.6801542639732361,0.09333333373069763,255.9066619873047,0.9208825826644897,0.9996321797370911,0.006666666828095913,235.66000366210938
3,0.499462753534317,75.44975280761719,30.303129196166992,0.20831921696662903,92.10049438476562,163.89785766601562,0.7602939009666443,0.6400414705276489,16.650741577148438,133.5947265625,0.5005788207054138,235.17999267578125,0.02666666731238365,0.6960758566856384,255.4066619873047,0.5933333039283752,0.4183333218097687,0.0024093545507639647,20.226667404174805,0.5666666626930237
4,0.49997803568840027,90.46292877197266,26.71499252319336,0.20783671736717224,110.70181274414062,145.29653930664062,0.5556878447532654,0.567545473575592,20.238880157470703,118.58155059814453,0.5,235.74667358398438,0.0,0.7022949457168579,256.0,0.0,0.0,0.0,20.253334045410156,0.0
5,0.49987414479255676,127.45799255371094,18.428335189819336,0.20771043002605438,155.98516845703125,100.01482391357422,0.32972660660743713,0.39063945412635803,28.527183532714844,81.58649444580078,0.5000380277633667,0.08666666597127914,20.246665954589844,0.6915367841720581,0.09333333373069763,255.9066619873047,0.9208827614784241,0.9996316432952881,0.006666666828095913,235.66000366210938
6,0.4993065893650055,79.75617980957031,29.294893264770508,0.20775705575942993,97.41680145263672,158.57989501953125,0.5615179538726807,0.6191993355751038,17.660625457763672,129.28500366210938,0.5000084638595581,0.06666667014360428,20.246665954589844,0.6917096376419067,0.07333333045244217,255.92666625976562,0.9208859205245972,0.9997137188911438,0.006666666828095913,235.67999267578125
7,0.5007968544960022,85.6046142578125,27.742998123168945,0.20814067125320435,104.81713104248047,151.18121337890625,0.620586633682251,0.5908213257789612,19.212520599365234,123.43821716308594,0.5073890089988708,109.26000213623047,10.566666603088379,0.6947914958000183,118.94666290283203,136.98666381835938,0.922863781452179,0.5364313125610352,9.686666488647461,126.41999816894531
8,0.5005454421043396,103.9308090209961,23.68698501586914,0.20861274003982544,127.1993408203125,128.79736328125,0.6836697459220886,0.5032893419265747,23.26853370666504,105.11038208007812,0.49999186396598816,0.18666666746139526,20.239999771118164,0.6915451288223267,0.20000000298023224,255.8000030517578,0.9208746552467346,0.9992059469223022,0.013333333656191826,235.55999755859375
9,0.4992453455924988,119.9275131225586,20.12849998474121,0.20779627561569214,146.75123596191406,109.24382019042969,0.4622551500797272,0.4264579713344574,26.82372283935547,89.11531829833984,0.5,0.0,20.253334045410156,0.683061957359314,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
10,0.4998875856399536,70.4777603149414,31.255353927612305,0.2077166885137558,86.17792510986328,169.82208251953125,0.5599157810211182,0.6633233428001404,15.700164794921875,138.5667266845703,0.5000144243240356,235.74000549316406,0.0,0.6982157230377197,255.9933319091797,0.006666666828095913,0.006666665896773338,2.886002948798705e-05,20.253334045410156,0.006666666828095913
11,0.4998839199542999,87.76605987548828,27.522239685058594,0.2079409658908844,107.1993408203125,148.79901123046875,0.5654213428497314,0.5812174081802368,19.433279037475586,121.27677154541016,0.5,235.74667358398438,0.0,0.6962229013442993,256.0,0.0,0.0,0.0,20.253334045410156,0.0
12,0.4999355375766754,114.28006744384766,21.281713485717773,0.20769859850406647,139.95387268066406,116.04612731933594,0.3836522400379181,0.45328280329704285,25.673805236816406,94.76441192626953,0.5,235.74667358398438,0.0,0.6962281465530396,256.0,0.0,0.0,0.0,20.253334045410156,0.0
13,0.5,125.56836700439453,18.586490631103516,0.20767368376255035,153.93739318847656,102.0625991821289,0.3260785639286041,0.39868202805519104,28.369028091430664,83.47611236572266,0.5,0.0,20.253334045410156,0.6874523758888245,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
14,0.5,79.10873413085938,29.062602996826172,0.20767447352409363,97.00164794921875,158.99835205078125,0.5075615048408508,0.6210873126983643,17.892915725708008,129.9357452392578,0.5,235.74667358398438,0.0,0.6935474276542664,256.0,0.0,0.0,0.0,20.253334045410156,0.0
15,0.5000920295715332,101.38715362548828,24.344316482543945,0.20772460103034973,123.99835205078125,132.00164794921875,0.43948882818222046,0.5156599879264832,22.611202239990234,107.65733337402344,0.5015773773193359,234.75332641601562,0.019999999552965164,0.6942070722579956,254.98666381835938,1.0133333206176758,0.5944444537162781,0.004222329240292311,20.233333587646484,0.9933333396911621
16,0.49955907464027405,99.83361053466797,24.68698501586914,0.20816902816295624,122.09884643554688,133.89291381835938,0.6139622926712036,0.5229326486587524,22.265239715576172,109.2059326171875,0.5000139474868774,235.74000549316406,0.0,0.6965582966804504,255.9933319091797,0.006666666828095913,0.006666665896773338,2.789400241454132e-05,20.253334045410156,0.006666666828095913
17,0.4995318353176117,81.31465911865234,28.87150001525879,0.20800383388996124,99.398681640625,156.59967041015625,0.6547660231590271,0.6115849614143372,18.084020614624023,127.7281723022461,0.5,235.74667358398438,0.0,0.6968923211097717,256.0,0.0,0.0,0.0,20.253334045410156,0.0
18,0.4994962215423584,84.82701873779297,28.04612922668457,0.2077271193265915,103.7347640991211,152.25865173339844,0.5373799204826355,0.5946037173271179,18.907743453979492,124.21251678466797,0.5,235.74667358398438,0.0,0.6984825134277344,256.0,0.0,0.0,0.0,20.253334045410156,0.0
19,0.5000819563865662,100.44975280761719,24.398681640625,0.20768651366233826,123.006591796875,132.993408203125,0.43085476756095886,0.5195375680923462,22.55683708190918,108.5947265625,0.5,235.74667358398438,0.0,0.6997401714324951,256.0,0.0,0.0,0.0,20.253334045410156,0.0
20,0.4999519884586334,116.16638946533203,20.88467788696289,0.2076815515756607,142.2372283935547,113.76276397705078,0.36315375566482544,0.44436967372894287,26.07084083557129,92.87808990478516,0.5,235.74667358398438,0.0,0.6953458786010742,256.0,0.0,0.0,0.0,20.253334045410156,0.0
21,0.5001572966575623,101.96540069580078,24.369028091430664,0.20770962536334991,124.55189514160156,131.4431610107422,0.43828269839286804,0.5135293006896973,22.586490631103516,107.07413482666016,0.5001277327537537,235.68666076660156,0.0,0.69533771276474,255.94000244140625,0.05999999865889549,0.059999994933605194,0.0002553858794271946,20.253334045410156,0.05999999865889549
22,0.4995362460613251,96.80889892578125,25.451400756835938,0.20771311223506927,118.3130111694336,137.68698120117188,0.4624219536781311,0.537667453289032,21.504117965698242,112.23558807373047,0.5,235.74667358398438,0.0,0.6959883570671082,256.0,0.0,0.0,0.0,20.253334045410156,0.0
23,0.49988970160484314,121.70510864257812,19.858320236206055,0.2077590376138687,148.80230712890625,107.196044921875,0.3735111355781555,0.4186987578868866,27.097198486328125,87.33772277832031,0.5,0.0,20.253334045410156,0.6915262937545776,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
24,0.4996591806411743,103.61943817138672,23.88962173461914,0.2078104019165039,126.68534088134766,129.31301879882812,0.525110125541687,0.5050027966499329,23.06589698791504,105.42339324951172,0.5019803047180176,234.25999450683594,0.0533333346247673,0.6932324171066284,254.4600067138672,1.5399999618530273,0.7883332967758179,0.006310772616416216,20.200000762939453,1.4866666793823242
25,0.499324232339859,112.23064422607422,21.91268539428711,0.2076992243528366,137.2734832763672,118.71170043945312,0.43986645340919495,0.46353596448898315,25.04283332824707,96.79901123046875,0.5,0.0,20.253334045410156,0.6904264688491821,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
26,0.49994948506355286,60.24711608886719,33.65568542480469,0.20770835876464844,73.54695129394531,182.45140075683594,0.6141069531440735,0.7127000689506531,13.299835205078125,148.79571533203125,0.4998725354671478,0.05999999865889549,20.253334045410156,0.6931111812591553,0.05999999865889549,255.94000244140625,0.9208664894104004,0.9997450709342957,0.0,235.68666076660156
27,0.4997235834598541,110.99176025390625,22.252059936523438,0.2076883167028427,135.69522094726562,120.30477905273438,0.39952751994132996,0.46983787417411804,24.703458786010742,98.05271911621094,0.5,0.0,20.253334045410156,0.6920991539955139,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
28,0.49982932209968567,81.74134826660156,28.75452995300293,0.20769739151000977,99.94233703613281,156.0576629638672,0.5002150535583496,0.6095405220985413,18.20098876953125,127.30313110351562,0.5,235.74667358398438,0.0,0.6944758892059326,256.0,0.0,0.0,0.0,20.253334045410156,0.0
29,0.499750018119812,109.11531829833984,22.71334457397461,0.2076866179704666,133.3574981689453,122.63920593261719,0.3948497474193573,0.4789695739746094,24.24217414855957,99.92586517333984,0.5,0.0,20.253334045410156,0.6923972964286804,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
30,0.49977877736091614,117.72652435302734,20.81878089904785,0.20769380033016205,143.8616180419922,112.1367416381836,0.3672788739204407,0.4379366934299469,26.135089874267578,91.31795501708984,0.5,0.0,20.253334045410156,0.6910580992698669,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
31,0.4999274015426636,82.95881652832031,28.57660675048828,0.20770004391670227,101.33772277832031,154.6622772216797,0.4968525767326355,0.6041289567947388,18.3789119720459,126.0856704711914,0.5,0.0,20.253334045410156,0.6920455694198608,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
32,0.5000379681587219,86.24546813964844,27.741350173950195,0.20769484341144562,105.45964050292969,150.5403594970703,0.47975921630859375,0.5880610346794128,19.214168548583984,122.79901123046875,0.5,235.74667358398438,0.0,0.6936174035072327,256.0,0.0,0.0,0.0,20.253334045410156,0.0
33,0.5000454783439636,163.93409729003906,10.334431648254395,0.20769430696964264,200.55519104003906,55.44480895996094,0.17963680624961853,0.21660670638084412,36.62108612060547,45.11037826538086,0.5,0.0,20.253334045410156,0.6888731718063354,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
34,0.5006909370422363,102.4843521118164,23.950576782226562,0.20772390067577362,125.48928833007812,130.50906372070312,0.45186614990234375,0.5100372433662415,23.004941940307617,106.55848693847656,0.5,0.0,20.253334045410156,0.6864771842956543,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
35,0.5001563429832458,74.11203002929688,30.187808990478516,0.2077050507068634,90.8797378540039,165.12026977539062,0.5399376153945923,0.6450619101524353,16.767709732055664,134.9324493408203,0.5,0.0,20.253334045410156,0.6921831369400024,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
36,0.4994876980781555,62.45304870605469,33.069190979003906,0.20768937468528748,76.33443450927734,179.65733337402344,0.5900118947029114,0.7016182541847229,13.881383895874023,146.588134765625,0.5,235.74667358398438,0.0,0.6958568096160889,256.0,0.0,0.0,0.0,20.253334045410156,0.0
37,0.5000281929969788,121.61943817138672,19.805601119995117,0.20768961310386658,148.7693634033203,107.23064422607422,0.34256303310394287,0.4188785254955292,27.149917602539062,87.42504119873047,0.5,0.0,20.253334045410156,0.6925678849220276,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
38,0.5000907182693481,123.03295135498047,19.233938217163086,0.20769274234771729,150.75453186035156,105.24546813964844,0.3366170823574066,0.41114771366119385,27.721582412719727,86.01153564453125,0.5,0.0,20.253334045410156,0.6890029907226562,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
39,0.4998926520347595,109.1367416381836,22.61614418029785,0.2076951265335083,133.47610473632812,122.52388763427734,0.3947471082210541,0.4785745441913605,24.339374542236328,99.90774536132812,0.5,0.0,20.253334045410156,0.6919026970863342,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
40,0.5,121.61614227294922,19.695222854614258,0.20769275724887848,148.87643432617188,107.1235580444336,0.3415169417858124,0.4184513986110687,27.260295867919922,87.42833709716797,0.5,0.0,20.253334045410156,0.6896318197250366,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
41,0.500095009803772,28.6210880279541,40.66721725463867,0.20769721269607544,34.90938949584961,221.09060668945312,0.7058992981910706,0.8636738061904907,6.288302898406982,180.42340087890625,0.5,235.74667358398438,0.0,0.6954850554466248,256.0,0.0,0.0,0.0,20.253334045410156,0.0
42,0.5000811815261841,94.44151306152344,25.609554290771484,0.20769838988780975,115.78748321533203,140.2125244140625,0.44840875267982483,0.547734797000885,21.345964431762695,114.60296630859375,0.5,235.74667358398438,0.0,0.6939926743507385,256.0,0.0,0.0,0.0,20.253334045410156,0.0
43,0.5000152587890625,75.32784271240234,29.808897018432617,0.20769228041172028,92.46622467041016,163.46788024902344,0.5259020328521729,0.6387327909469604,17.138385772705078,133.6589813232422,0.5,235.74667358398438,0.0,0.6971556544303894,256.0,0.0,0.0,0.0,20.253334045410156,0.0
44,0.5,122.18616485595703,19.4217472076416,0.20769305527210236,149.71994018554688,106.28006744384766,0.3392903208732605,0.4151565134525299,27.53377342224121,86.85832214355469,0.5,0.0,20.253334045410156,0.6928081512451172,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
45,0.5,75.76276397705078,29.93410301208496,0.20769479870796204,92.78418731689453,163.2158203125,0.5206316709518433,0.6375617980957031,17.02141761779785,133.28170776367188,0.5,235.74667358398438,0.0,0.6937618255615234,256.0,0.0,0.0,0.0,20.253334045410156,0.0
46,0.5,116.0658950805664,20.892915725708008,0.2076965719461441,142.1284942626953,113.87149810791016,0.36319759488105774,0.44481053948402405,26.062602996826172,92.97858428955078,0.5,0.0,20.253334045410156,0.6908350586891174,0.0,256.0,0.920885443687439,1.0,0.0,235.74667358398438
