epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_pred_m,val_pos_pred_m,val_tn_m,val_tp_m
0,0.5269941687583923,122.54033660888672,17.722326278686523,0.22286221385002136,155.52345275878906,100.47654724121094,32.983116149902344,82.75421905517578,0.5448330640792847,198.6946563720703,1.3358778953552246,0.7039909958839417,220.58778381347656,35.404579162597656,21.893129348754883,34.068702697753906
1,0.5088841915130615,116.2851791381836,21.0863037109375,0.22033445537090302,145.90431213378906,110.09568786621094,29.619136810302734,89.00938415527344,0.5042051076889038,229.57252502441406,0.12977099418640137,0.7172010540962219,252.6717529296875,3.328244209289551,23.0992374420166,3.1984732151031494
2,0.501823365688324,105.43714904785156,24.360225677490234,0.22017353773117065,131.78236389160156,124.21763610839844,26.34521484375,99.85741424560547,0.5011676549911499,231.31297302246094,0.09923664480447769,0.7299969792366028,254.4427490234375,1.5572519302368164,23.129770278930664,1.4580153226852417
3,0.510595977306366,109.67542266845703,22.534709930419922,0.22007501125335693,137.84616088867188,118.15384674072266,28.170732498168945,95.619140625,0.5014577507972717,231.0,0.11450381577014923,0.7303966879844666,254.114501953125,1.8854961395263672,23.114503860473633,1.770992398262024
4,0.5049549341201782,108.4202651977539,23.30206298828125,0.21998798847198486,135.82363891601562,120.17636108398438,27.403377532958984,96.87429809570312,0.50570148229599,228.60305786132812,0.16030533611774445,0.7210384011268616,251.6717529296875,4.328244209289551,23.068702697753906,4.167938709259033
5,0.5045570135116577,100.38461303710938,25.303939819335938,0.21984340250492096,125.78424072265625,130.21200561523438,25.39962387084961,104.90806579589844,0.5028755068778992,230.16793823242188,0.12977099418640137,0.7482218742370605,253.26718139648438,2.7328243255615234,23.0992374420166,2.603053331375122
6,0.536742091178894,132.410888671875,14.275797843933105,0.21907882392406464,168.8405303955078,87.15947723388672,36.42964172363281,72.88367462158203,0.5599855184555054,190.0381622314453,1.465648889541626,0.7180116772651672,211.80152893066406,44.1984748840332,21.76335906982422,42.732826232910156
7,0.5673795342445374,129.13320922851562,11.990618705749512,0.21615754067897797,167.8480224609375,88.15196990966797,38.714820861816406,76.1613540649414,0.5918607115745544,161.37403869628906,2.893129825592041,0.6898728013038635,181.70993041992188,74.29007720947266,20.335878372192383,71.3969497680664
8,0.5728648900985718,128.8498992919922,11.444652557373047,0.2148503065109253,168.11068725585938,87.8893051147461,39.26078796386719,76.44465637207031,0.6012066602706909,152.06106567382812,3.3816792964935303,0.6802026629447937,171.9084014892578,84.09160614013672,19.847328186035156,80.70992279052734
9,0.5755709409713745,126.76360321044922,11.692307472229004,0.21346184611320496,165.7767333984375,90.2232666015625,39.01313400268555,78.53096008300781,0.5844268202781677,175.95419311523438,1.7633588314056396,0.7222453355789185,197.4198455810547,58.58015441894531,21.465648651123047,56.816795349121094
