epoch,accuracy_m,f1_m,loss,neg_f1_m,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,val_accuracy_m,val_f1_m,val_loss,val_neg_f1_m,val_neg_precision_m,val_neg_pred_m,val_neg_recall_m,val_pos_pred_m,val_precision_m,val_recall_m
0,0.5893726944923401,0.592850923538208,0.6844786405563354,0.5637716054916382,0.5958762168884277,120.49693298339844,0.5608384609222412,135.6503143310547,0.5913656949996948,0.6187143921852112,0.5662378072738647,0.6260384321212769,0.6835098266601562,0.4814506471157074,0.4614028036594391,115.33333587646484,0.5063086152076721,147.8000030517578,0.6488261818885803,0.6065712571144104
1,0.6469832062721252,0.6587375998497009,0.621049702167511,0.6285220384597778,0.6568319797515869,118.57669067382812,0.6108590364456177,137.570556640625,0.6435320973396301,0.6821656227111816,0.5652310848236084,0.6227757930755615,0.6938191652297974,0.48505979776382446,0.46100562810897827,117.03333282470703,0.5143862962722778,146.10000610351562,0.649603545665741,0.5995457768440247
2,0.6652566194534302,0.6690518260002136,0.6000279784202576,0.6505288481712341,0.6760423183441162,122.61349487304688,0.6449852585792542,133.5337371826172,0.6703752875328064,0.6840159296989441,0.6006942987442017,0.6847164630889893,0.6945055723190308,0.45314666628837585,0.5005528330802917,87.43333435058594,0.4158609211444855,175.6999969482422,0.6507139205932617,0.7237563729286194
3,0.6912857294082642,0.6931094527244568,0.5699831247329712,0.6820438504219055,0.6991029381752014,124.70552062988281,0.6798657774925232,131.44171142578125,0.6967975497245789,0.7022760510444641,0.5646508932113647,0.5737785696983337,0.6908873319625854,0.5531708598136902,0.46933233737945557,151.43333435058594,0.6759858727455139,111.69999694824219,0.6933485269546509,0.49050620198249817
4,0.7151799201965332,0.7167176604270935,0.5407837629318237,0.7059553861618042,0.7259588241577148,124.73006439208984,0.7047650218009949,131.41717529296875,0.7234518527984619,0.7262803912162781,0.7070677876472473,0.7814062833786011,0.5833355784416199,0.5525611639022827,0.705359697341919,68.0,0.4556327164173126,195.13333129882812,0.7073432803153992,0.8736956715583801
5,0.7391508221626282,0.7398998141288757,0.5089015364646912,0.7306393384933472,0.7518161535263062,124.5950927734375,0.7278270125389099,131.55215454101562,0.7467380166053772,0.7501516342163086,0.6114051342010498,0.6890321373939514,0.6778440475463867,0.47855645418167114,0.5157700181007385,91.69999694824219,0.4485546350479126,171.43333435058594,0.6625440716743469,0.719041109085083
6,0.7519575953483582,0.754077136516571,0.48977145552635193,0.7425400614738464,0.7691973447799683,123.61962890625,0.737680971622467,132.52760314941406,0.759534478187561,0.7675102949142456,0.6234424710273743,0.6603307127952576,0.6645337343215942,0.5756977796554565,0.5229909420013428,129.0,0.6421701312065125,134.13333129882812,0.7200673222541809,0.6106827259063721
7,0.7706877589225769,0.7735688090324402,0.4620051085948944,0.7633825540542603,0.7829157114028931,123.68098449707031,0.756598174571991,132.4662628173828,0.7725448608398438,0.7852454781532288,0.5861214399337769,0.5653676390647888,0.7989508509635925,0.6036790609359741,0.48898258805274963,170.3000030517578,0.7914830446243286,92.83333587646484,0.7642207741737366,0.44963234663009644
8,0.7828234434127808,0.7849987745285034,0.44505852460861206,0.7758957743644714,0.7939722537994385,124.49693298339844,0.7717031240463257,131.6503143310547,0.7878039479255676,0.7940669059753418,0.592867910861969,0.6096245050430298,0.7893322706222534,0.5726608633995056,0.49321073293685913,146.1999969482422,0.6851483583450317,116.93333435058594,0.7176190614700317,0.5311038494110107
9,0.7931098341941833,0.7947216629981995,0.4277205765247345,0.7877581715583801,0.8018267750740051,125.15950775146484,0.7847636342048645,130.98773193359375,0.7978633642196655,0.8018873929977417,0.6471276879310608,0.6914218068122864,0.6836690902709961,0.5857858061790466,0.5511373281478882,119.73332977294922,0.6274760365486145,143.39999389648438,0.7274731993675232,0.6599870920181274
