epoch,accuracy_m,f1_m,loss,neg_f1_m,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,val_accuracy_m,val_f1_m,val_loss,val_neg_f1_m,val_neg_precision_m,val_neg_pred_m,val_neg_recall_m,val_pos_pred_m,val_precision_m,val_recall_m
0,0.6604280471801758,0.6409825086593628,0.6096696257591248,0.6692626476287842,0.6491097807884216,139.9779052734375,0.709563136100769,116.27072143554688,0.6936682462692261,0.6145300269126892,0.7337329387664795,0.7023470997810364,0.5266023278236389,0.7580509781837463,0.6851973533630371,158.31817626953125,0.8503549098968506,100.86363983154297,0.8105230927467346,0.6213884353637695
1,0.7060818076133728,0.685552179813385,0.5615283846855164,0.7175083160400391,0.6879212260246277,142.65745544433594,0.7645353674888611,113.5911636352539,0.7471927404403687,0.6486800312995911,0.7691501379013062,0.7627914547920227,0.48542773723602295,0.7738718390464783,0.7462849020957947,137.72727966308594,0.8052045702934265,121.45454406738281,0.7951200008392334,0.7345190644264221
2,0.7239145636558533,0.7071698307991028,0.5365725755691528,0.7343764305114746,0.7030840516090393,141.36463928222656,0.7768568396568298,114.88397979736328,0.7597494125366211,0.6707001328468323,0.7838398218154907,0.7846590280532837,0.4727843105792999,0.7816579341888428,0.7763369083404541,129.65908813476562,0.7883012294769287,129.52272033691406,0.7910467386245728,0.7795956134796143
3,0.7345220446586609,0.7187695503234863,0.5200433731079102,0.7443825602531433,0.7134507298469543,141.27072143554688,0.7877121567726135,114.97789764404297,0.7733637094497681,0.6823266744613647,0.7878034710884094,0.7826759219169617,0.4605846107006073,0.7912919521331787,0.765867292881012,136.63636779785156,0.8195210099220276,122.54545593261719,0.8116760849952698,0.756691575050354
4,0.7488682270050049,0.7333895564079285,0.5003494024276733,0.7584704160690308,0.7262154817581177,141.73480224609375,0.8038057684898376,114.51380920410156,0.7902224063873291,0.6947470307350159,0.7974749207496643,0.8056238293647766,0.46036264300346375,0.7871986031532288,0.8136838674545288,119.81818389892578,0.7634593844413757,139.36363220214844,0.7831991314888,0.8304300308227539
5,0.7612852454185486,0.747969925403595,0.4793003499507904,0.7703266739845276,0.7376863360404968,140.85635375976562,0.8135526180267334,115.39226531982422,0.7998983263969421,0.7105238437652588,0.8070468902587891,0.8135135173797607,0.4555242657661438,0.7987326979637146,0.8196052312850952,121.56818389892578,0.7804849147796631,137.61363220214844,0.7962629199028015,0.8330057263374329
6,0.7741488218307495,0.7627278566360474,0.4584962725639343,0.7817565202713013,0.7521207332611084,139.6243133544922,0.8215787410736084,116.62430572509766,0.810876727104187,0.7283948063850403,0.8217158913612366,0.8278318047523499,0.4314466118812561,0.8138399124145508,0.8365986347198486,121.04545593261719,0.7931972146034241,138.13636779785156,0.8082646727561951,0.8492515087127686
7,0.784430205821991,0.7741733193397522,0.4458189606666565,0.7907531261444092,0.7638120055198669,138.6464080810547,0.8279170393943787,117.60221099853516,0.819703221321106,0.7417933940887451,0.8254186511039734,0.8270680904388428,0.41098660230636597,0.8224918842315674,0.821131706237793,128.15908813476562,0.8247541785240173,131.02272033691406,0.8291810750961304,0.8258508443832397
8,0.7883852124214172,0.7800661325454712,0.4353908598423004,0.7928361296653748,0.7701066136360168,136.9447479248047,0.8248596787452698,119.30387115478516,0.8198592662811279,0.7520493865013123,0.806749165058136,0.8229777812957764,0.458523154258728,0.7857383489608765,0.8612964153289795,107.13636016845703,0.7232629656791687,152.0454559326172,0.7677767276763916,0.8876686096191406
9,0.7967284917831421,0.7904701232910156,0.4213082492351532,0.8001135587692261,0.7805283069610596,135.38673400878906,0.8277038335800171,120.86187744140625,0.8236092329025269,0.7668922543525696,0.8123941421508789,0.8225147724151611,0.45023655891418457,0.799713134765625,0.8397287130355835,116.06818389892578,0.7644419074058533,143.11363220214844,0.7898814678192139,0.8590448498725891
10,0.8062201142311096,0.7999507784843445,0.41067788004875183,0.8100415468215942,0.78862065076828,135.51380920410156,0.8373443484306335,120.73480987548828,0.8315027356147766,0.7755560874938965,0.8097990155220032,0.8167474269866943,0.4783819913864136,0.8010059595108032,0.823722243309021,120.95454406738281,0.7808083891868591,138.22727966308594,0.7975258231163025,0.8381469249725342
