epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m
0,0.5334126949310303,120.4631576538086,16.37293243408203,0.20187050104141235,149.3368377685547,106.66315460205078,0.8490493297576904,0.42847001552581787,28.87368392944336,90.29022216796875
1,0.5707836747169495,108.13233184814453,15.622556686401367,0.19749994575977325,137.7563934326172,118.24360656738281,0.8690177202224731,0.4869671165943146,29.624059677124023,102.62105560302734
2,0.5970378518104553,99.56391143798828,15.102255821228027,0.19272072613239288,129.70826721191406,126.29173278808594,0.8826526999473572,0.5276740193367004,30.14436149597168,111.1894760131836
3,0.6142476201057434,94.9669189453125,14.509774208068848,0.18887241184711456,125.7037582397461,130.29623413085938,0.8916547298431396,0.5494106411933899,30.736841201782227,115.78646850585938
4,0.6239068508148193,91.77143096923828,14.275188446044922,0.18615011870861053,122.74285888671875,133.25714111328125,0.8962476849555969,0.5644088983535767,30.97142791748047,118.9819564819336
5,0.6343753337860107,89.30525970458984,13.831579208374023,0.18313319981098175,120.72029876708984,135.27969360351562,0.9011602401733398,0.5759170651435852,31.415037155151367,121.4481201171875
6,0.6416236162185669,87.23158264160156,13.562405586242676,0.18104100227355957,118.91578674316406,137.08421325683594,0.9044946432113647,0.5856905579566956,31.6842098236084,123.52180480957031
7,0.6517946720123291,84.86165618896484,13.133834838867188,0.17868545651435852,116.97443389892578,139.0255584716797,0.908852219581604,0.5968327522277832,32.1127815246582,125.89173126220703
8,0.6565685868263245,83.62556457519531,12.938345909118652,0.17630279064178467,115.933837890625,140.066162109375,0.9114423990249634,0.602641761302948,32.30826950073242,127.12782287597656
9,0.6653048396110535,80.97593688964844,12.687217712402344,0.17388693988323212,113.53533935546875,142.46466064453125,0.914473295211792,0.6151106357574463,32.55939865112305,129.77745056152344
10,0.6706629991531372,79.46466064453125,12.490225791931152,0.17198024690151215,112.22105407714844,143.77894592285156,0.9169056415557861,0.6222273111343384,32.75638961791992,131.28872680664062
11,0.6755543351173401,78.62857055664062,12.22406005859375,0.17040351033210754,111.65113067626953,144.348876953125,0.9189432859420776,0.6261023879051208,33.02255630493164,132.12481689453125
12,0.6802804470062256,77.67819213867188,11.987970352172852,0.1683511883020401,110.93684387207031,145.0631561279297,0.9207527041435242,0.6305487155914307,33.25864791870117,133.0751953125
13,0.687515377998352,76.11579132080078,11.648119926452637,0.165828138589859,109.71428680419922,146.2857208251953,0.9237863421440125,0.6378964781761169,33.59849548339844,134.63758850097656
14,0.6925948262214661,74.82405853271484,11.490225791931152,0.16459372639656067,108.58045196533203,147.4195556640625,0.9255823493003845,0.6441625952720642,33.75638961791992,135.9293212890625
