epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m
0,0.5156165957450867,196.513916015625,2.7301926612854004,0.1770540475845337,231.23768615722656,24.762311935424805,0.49601563811302185,0.10118071734905243,34.72377014160156,22.032119750976562
1,0.5009592175483704,122.73875427246094,16.520341873168945,0.17315416038036346,143.67237854003906,112.32762145996094,0.5844264626502991,0.439049631357193,20.933618545532227,95.80728149414062
2,0.5010364651679993,124.308349609375,16.222698211669922,0.17315585911273956,145.53961181640625,110.45610046386719,0.5978535413742065,0.4317995607852936,21.231264114379883,94.23340606689453
3,0.4997672438621521,119.30406951904297,17.173446655273438,0.17315039038658142,139.5824432373047,116.40257263183594,0.610122561454773,0.45468074083328247,20.278371810913086,99.22911834716797
4,0.5009353160858154,120.4111328125,16.87152099609375,0.1731501966714859,140.9935760498047,114.99785614013672,0.5953028798103333,0.4495604932308197,20.582441329956055,98.12633514404297
