epoch,accuracy_m,f1_m,loss,neg_f1_m,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m
0,0.7447700500488281,0.8354829549789429,0.6578426957130432,0.08949844539165497,0.08969014883041382,19.433555603027344,0.15061917901039124,108.56644439697266,0.8508732914924622,0.848069429397583
1,0.8506021499633789,0.9189440011978149,0.6053663492202759,0.0001254129019798711,0.00166112941224128,0.004983388818800449,6.516739085782319e-05,127.9950180053711,0.850621223449707,0.9999686479568481
2,0.8506151437759399,0.9189531207084656,0.5673732757568359,0.0,0.0,0.0,0.0,128.0,0.8506151437759399,1.0
3,0.8505113124847412,0.9188898801803589,0.5363998413085938,0.0002598713617771864,0.0024916939437389374,0.01827242597937584,0.00013715247041545808,127.98172760009766,0.8506128787994385,0.9998540282249451
4,0.8505762219429016,0.918928861618042,0.5110795497894287,0.00016415867139585316,0.00166112941224128,0.008305647410452366,8.651716780150309e-05,127.99169158935547,0.8506187796592712,0.999939501285553
5,0.8506216406822205,0.918956458568573,0.48912590742111206,6.388959445757791e-05,0.00083056470612064,0.000830564764328301,3.322258999105543e-05,127.9991683959961,0.8506203889846802,1.0
6,0.850628137588501,0.9189592003822327,0.4709489941596985,0.00030616894946433604,0.0024916939437389374,0.003322259057313204,0.00016314664389938116,127.9966812133789,0.8506315350532532,0.9999924898147583
7,0.8506151437759399,0.9189531207084656,0.4565144181251526,0.0,0.0,0.0,0.0,128.0,0.8506151437759399,1.0
8,0.8506151437759399,0.9189525842666626,0.4452975392341614,0.0,0.0,0.0,0.0,128.0,0.8506151437759399,1.0
9,0.8506151437759399,0.9189532995223999,0.43724629282951355,0.0,0.0,0.0,0.0,128.0,0.8506151437759399,1.0
