epoch,accuracy_m,f1_m,loss,neg_f1_m,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m
0,0.7893097400665283,0.8799470067024231,0.6743424534797668,0.049231547862291336,0.12576498091220856,6.531645774841309,0.03870817646384239,121.46835327148438,0.8244162201881409,0.9462751746177673
1,0.8255043625831604,0.9039079546928406,0.6399351358413696,0.011087230406701565,0.11139240860939026,0.4303797483444214,0.00587689783424139,127.56961822509766,0.8272673487663269,0.9971636533737183
2,0.8271360993385315,0.9049280881881714,0.6124961972236633,0.007792843040078878,0.08734176307916641,0.13797467947006226,0.004089588765054941,127.86202239990234,0.8273400664329529,0.9995375275611877
3,0.827195405960083,0.9049838781356812,0.5888890624046326,0.0057457443326711655,0.0613924004137516,0.07974683493375778,0.003023918019607663,127.92024993896484,0.8272237181663513,0.999846875667572
4,0.8272942900657654,0.9050370454788208,0.5675713419914246,0.00586991012096405,0.06835442781448364,0.07721518725156784,0.0030730378348380327,127.92278289794922,0.8272579908370972,0.9999152421951294
5,0.8271459937095642,0.9049639105796814,0.5491752624511719,0.0041937618516385555,0.048101261258125305,0.05569620430469513,0.0021979256998747587,127.94430541992188,0.8271284103393555,0.9999253749847412
6,0.8271360993385315,0.9049610495567322,0.5330119729042053,0.00417223758995533,0.045569613575935364,0.05189873278141022,0.002195411827415228,127.94810485839844,0.8271170854568481,0.9999392032623291
7,0.8272250890731812,0.905009388923645,0.5188027024269104,0.004508844576776028,0.05189872905611992,0.05316455662250519,0.0023611641954630613,127.94683837890625,0.8271629810333252,0.9999867677688599
8,0.8270174264907837,0.9049070477485657,0.5065232515335083,0.002253103069961071,0.025316452607512474,0.026582278311252594,0.001180599327199161,127.97341918945312,0.8269926905632019,0.999987781047821
9,0.8269580602645874,0.904875636100769,0.4960438311100006,0.0015408151084557176,0.018987340852618217,0.02151898667216301,0.0008034021593630314,127.97847747802734,0.8269470930099487,0.9999752044677734
