epoch,accuracy_m,f1_m,loss,neg_f1_m,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m
0,0.670347273349762,0.7774404883384705,0.67198246717453,0.15175707638263702,0.15986943244934082,30.239240646362305,0.22897134721279144,97.75949096679688,0.8253770470619202,0.7622693777084351
1,0.8264734745025635,0.9044885039329529,0.6352521181106567,0.009343176148831844,0.09578058868646622,0.27341771125793457,0.004955823067575693,127.7265853881836,0.8273406624794006,0.9984856247901917
2,0.8268888592720032,0.9048272371292114,0.6076961755752563,0.0007926151156425476,0.01012658141553402,0.012658228166401386,0.00041275779949501157,127.98734283447266,0.8268895149230957,0.9999750256538391
3,0.826859176158905,0.9048141241073608,0.5850521326065063,0.00047728634672239423,0.00506329070776701,0.006329114083200693,0.0002504679432604462,127.99366760253906,0.826861560344696,0.9999882578849792
4,0.8269778490066528,0.9048652052879333,0.5650686025619507,0.0025528413243591785,0.029113922268152237,0.04177215322852135,0.0013369288062676787,127.9582290649414,0.8270102143287659,0.9998930096626282
5,0.827195405960083,0.9049668908119202,0.5478293299674988,0.005425346549600363,0.06329113245010376,0.08481013029813766,0.0028421760071069,127.91519165039062,0.8272274732589722,0.9998220801353455
6,0.8273734450340271,0.9050532579421997,0.5328364372253418,0.007920042611658573,0.08607593923807144,0.11265822499990463,0.004164776764810085,127.88734436035156,0.8273919820785522,0.9997975826263428
7,0.8274624347686768,0.9050987362861633,0.5192645192146301,0.008401378057897091,0.09177213907241821,0.11898734420537949,0.004422819707542658,127.88101196289062,0.827448308467865,0.9998193383216858
8,0.8275514245033264,0.9051511287689209,0.5075847506523132,0.00872829556465149,0.09810125827789307,0.11265822499990463,0.00458100950345397,127.88734436035156,0.8274792432785034,0.9999053478240967
9,0.8276404142379761,0.9051985144615173,0.4975605607032776,0.009240919724106789,0.1050632894039154,0.11645569652318954,0.00484851747751236,127.883544921875,0.8275315165519714,0.999941349029541
