epoch,accuracy_m,f1_m,loss,neg_f1_m,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m
0,0.8493831157684326,0.9171669483184814,0.3585266172885895,0.07217561453580856,0.2471904158592224,4.41145133972168,0.05215364694595337,251.5885467529297,0.8567735552787781,0.9888498187065125
1,0.8559056520462036,0.9200857877731323,0.3134172558784485,0.21898230910301208,0.545770525932312,11.03462028503418,0.16036562621593475,244.9653778076172,0.8701475262641907,0.9774372577667236
2,0.8659651875495911,0.9246820211410522,0.29413557052612305,0.36077621579170227,0.629932701587677,17.452730178833008,0.27844947576522827,238.54727172851562,0.8854382038116455,0.9686380624771118
3,0.8713070154190063,0.9271082282066345,0.28233763575553894,0.4235844314098358,0.6467501521110535,20.84687042236328,0.34050655364990234,235.1531219482422,0.8938591480255127,0.9639620184898376
4,0.8758946657180786,0.9294102191925049,0.27380621433258057,0.4628603458404541,0.6616825461387634,22.780292510986328,0.38179919123649597,233.21971130371094,0.8996108770370483,0.9622423052787781
5,0.8804094791412354,0.9318270683288574,0.2670153081417084,0.49302592873573303,0.6779741048812866,23.797603607177734,0.41155824065208435,232.202392578125,0.9038631319999695,0.9625836610794067
6,0.8839100003242493,0.9336951971054077,0.2604753375053406,0.5152106881141663,0.6861537098884583,24.744340896606445,0.43436259031295776,231.2556610107422,0.907353401184082,0.9624527096748352
7,0.8862194418907166,0.9348974227905273,0.25506842136383057,0.5280888676643372,0.698427140712738,25.375499725341797,0.4498979449272156,230.62449645996094,0.9098454713821411,0.9623330235481262
8,0.8894078731536865,0.9366651773452759,0.2497025430202484,0.5465685129165649,0.7077115178108215,25.989347457885742,0.4696275293827057,230.01065063476562,0.9127066135406494,0.9628552198410034
9,0.8918005228042603,0.9379652142524719,0.24421356618404388,0.5611433386802673,0.7105640769004822,26.474035263061523,0.4840621054172516,229.52597045898438,0.9148039221763611,0.9631195664405823
10,0.8931268453598022,0.9386907815933228,0.24077089130878448,0.5678585171699524,0.7151432633399963,26.65379524230957,0.4902532696723938,229.34620666503906,0.9158260822296143,0.9634688496589661
11,0.8962737321853638,0.9404122829437256,0.235468789935112,0.5848648548126221,0.7231020331382751,27.30759048461914,0.509187638759613,228.69241333007812,0.9187549948692322,0.9638079404830933
12,0.8984842896461487,0.9416331052780151,0.230723574757576,0.5950263142585754,0.7315766215324402,27.68442153930664,0.5205110311508179,228.31558227539062,0.9207019209861755,0.9642155766487122
13,0.9002683758735657,0.9426167011260986,0.22667859494686127,0.6068747639656067,0.7347610592842102,28.143808364868164,0.5347169637680054,227.85618591308594,0.9224978089332581,0.9642816185951233
14,0.9015375375747681,0.9432848691940308,0.22312664985656738,0.6126687526702881,0.7411813735961914,28.51131820678711,0.5437707304954529,227.48867797851562,0.9240323901176453,0.9641583561897278
