epoch,accuracy_m,f1_m,loss,neg_f1_m,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m
0,0.8212294578552246,0.9009613990783691,0.6631268858909607,0.020511649549007416,0.08861415088176727,2.7201879024505615,0.013415342196822166,125.27981567382812,0.8366767764091492,0.9771910905838013
1,0.8359962105751038,0.9102595448493958,0.620173454284668,0.006664604879915714,0.06870109587907791,0.41502347588539124,0.003529929555952549,127.58497619628906,0.8381228446960449,0.9968276619911194
2,0.837008535861969,0.9108829498291016,0.5856684446334839,0.004908916540443897,0.051173705607652664,0.2403755933046341,0.0025913044810295105,127.7596206665039,0.8381762504577637,0.998252272605896
3,0.8376100063323975,0.9112598299980164,0.5566132068634033,0.0021915005054324865,0.023474177345633507,0.10516431927680969,0.001153310644440353,127.89483642578125,0.8381145000457764,0.9992366433143616
4,0.8379621505737305,0.9114841222763062,0.5315225124359131,0.00046352873323485255,0.005633802153170109,0.02441314607858658,0.00024178870080504566,127.9755859375,0.8380780816078186,0.9998260140419006
5,0.8380648493766785,0.9115470051765442,0.5106453895568848,0.0002884377317968756,0.0028169010765850544,0.005633802618831396,0.000152321343193762,127.99436950683594,0.8380802273750305,0.9999738931655884
6,0.8380648493766785,0.9115474224090576,0.4933769106864929,0.00018332214676775038,0.0018779340898618102,0.0037558686453849077,9.636768663767725e-05,127.99624633789062,0.8380743861198425,0.9999816417694092
7,0.8380648493766785,0.9115487337112427,0.4791259169578552,0.0,0.0,0.0,0.0,128.0,0.8380648493766785,1.0
8,0.8380648493766785,0.9115484356880188,0.467549204826355,0.0,0.0,0.0,0.0,128.0,0.8380648493766785,1.0
9,0.8380648493766785,0.9115486741065979,0.45881617069244385,0.0,0.0,0.0,0.0,128.0,0.8380648493766785,1.0
