epoch,accuracy_m,f1_m,loss,neg_f1_m,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,val_accuracy_m,val_f1_m,val_loss,val_neg_f1_m,val_neg_precision_m,val_neg_pred_m,val_neg_recall_m,val_pos_pred_m,val_precision_m,val_recall_m
0,0.6150568127632141,0.565757691860199,0.687616765499115,0.573695719242096,0.6575820446014404,64.18181610107422,0.6139266490936279,63.818180084228516,0.611310601234436,0.6089354157447815,0.5546875,0.42424237728118896,0.6454097032546997,0.6369426250457764,0.5376344323158264,93.0,0.78125,35.0,0.6000000238418579,0.328125
1,0.7439630627632141,0.7547134757041931,0.5439308285713196,0.723292887210846,0.7974084615707397,56.45454406738281,0.6868617534637451,71.54545593261719,0.7270700931549072,0.8057174682617188,0.484375,0.13157892227172852,0.7829399704933167,0.6333333253860474,0.4913793206214905,116.0,0.890625,12.0,0.4166666567325592,0.078125
2,0.7784090638160706,0.7837767004966736,0.47716063261032104,0.7551771402359009,0.8302744030952454,58.45454406738281,0.7361249327659607,69.54545593261719,0.7751453518867493,0.8224127292633057,0.515625,0.18421047925949097,0.8186672925949097,0.6555554866790771,0.5086206793785095,116.0,0.921875,12.0,0.5833333134651184,0.109375
3,0.7789417505264282,0.7718010544776917,0.5022315382957458,0.7599754929542542,0.8031792044639587,60.522727966308594,0.7519037127494812,67.4772720336914,0.7901372313499451,0.8036638498306274,0.5234375,0.3578946888446808,0.6872605085372925,0.6211179494857788,0.5154638886451721,97.0,0.78125,31.0,0.5483871102333069,0.265625
4,0.8380681872367859,0.8410078287124634,0.3725845515727997,0.8292505145072937,0.871524453163147,59.8636360168457,0.8037521839141846,68.13636016845703,0.8256775140762329,0.8689382672309875,0.4921875,0.15584413707256317,0.9992231130599976,0.6368715167045593,0.4956521689891815,115.0,0.890625,13.0,0.4615384638309479,0.09375
5,0.8444602489471436,0.8439004421234131,0.35255753993988037,0.8366613984107971,0.8672375082969666,62.54545593261719,0.8301950097084045,65.45454406738281,0.853659987449646,0.8526058197021484,0.53125,0.24999995529651642,0.8057849407196045,0.6590908169746399,0.5178571343421936,112.0,0.90625,16.0,0.625,0.15625
6,0.8693181872367859,0.8697267770767212,0.3117745518684387,0.86501544713974,0.8876213431358337,62.5,0.8587152361869812,65.5,0.8718085885047913,0.8819766640663147,0.5234375,0.18666663765907288,0.9391413927078247,0.6629833579063416,0.5128205418586731,117.0,0.9375,11.0,0.6363636255264282,0.109375
7,0.8682528138160706,0.8681406378746033,0.3113332688808441,0.8644912838935852,0.8864855170249939,62.95454406738281,0.8630187511444092,65.04545593261719,0.8767969012260437,0.8773939609527588,0.5703125,0.39560434222221375,0.8168486952781677,0.6666666269302368,0.5445544719696045,101.0,0.859375,27.0,0.6666666865348816,0.28125
8,0.8726917505264282,0.8735593557357788,0.2970292270183563,0.8662120699882507,0.8923707604408264,62.977272033691406,0.8643600940704346,65.0227279663086,0.8841361999511719,0.8818620443344116,0.515625,0.18421047925949097,0.9700225591659546,0.6555554866790771,0.5086206793785095,116.0,0.921875,12.0,0.5833333134651184,0.109375
9,0.9037641882896423,0.9030657410621643,0.2413312941789627,0.9017301201820374,0.9115671515464783,63.90909194946289,0.902764081954956,64.09091186523438,0.9104440212249756,0.9050852060317993,0.5234375,0.16438353061676025,1.2553203105926514,0.6666666269302368,0.5126050710678101,119.0,0.953125,9.0,0.6666666865348816,0.09375
