epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m
0,0.5087335109710693,32.91999816894531,32.90666580200195,0.6703367829322815,216.39999389648438,39.599998474121094,0.15241438150405884,0.16953308880329132,183.47999572753906,6.693333148956299
1,0.502113401889801,39.400001525878906,0.25333333015441895,0.6074557900428772,255.53334045410156,0.46666666865348816,0.18666665256023407,0.0054008327424526215,216.13333129882812,0.2133333384990692
2,0.5016435980796814,39.45333480834961,0.1733333319425583,0.5533258318901062,255.6666717529297,0.3333333432674408,0.15999998152256012,0.004093122202903032,216.2133331298828,0.1599999964237213
3,0.5021880269050598,39.38666534423828,0.2933333218097687,0.5044572353363037,255.47999572753906,0.5199999809265137,0.18888889253139496,0.005731123499572277,216.0933380126953,0.2266666740179062
4,0.5021224617958069,39.400001525878906,0.2933333218097687,0.4711093604564667,255.4933319091797,0.5066666603088379,0.1711110919713974,0.005602395627647638,216.0933380126953,0.2133333384990692
5,0.5026552677154541,39.37333297729492,0.20000000298023224,0.4476887881755829,255.55999755859375,0.4399999976158142,0.20666664838790894,0.0062345839105546474,216.18666076660156,0.23999999463558197
6,0.5086280703544617,38.86666488647461,0.4266666769981384,0.43228480219841003,254.82666015625,1.1733332872390747,0.4655555188655853,0.01922864466905594,215.9600067138672,0.746666669845581
7,0.5139869451522827,38.400001525878906,0.6666666865348816,0.4192487299442291,254.1199951171875,1.8799999952316284,0.5700634717941284,0.03107256256043911,215.72000122070312,1.2133333683013916
8,0.5208905339241028,37.85333251953125,0.6933333277702332,0.4109044075012207,253.54666137695312,2.4533333778381348,0.6802222728729248,0.04497765004634857,215.69332885742188,1.7599999904632568
9,0.539156973361969,36.30666732788086,1.2133333683013916,0.3952416479587555,251.47999572753906,4.519999980926514,0.7076932191848755,0.08393041789531708,215.17333984375,3.306666612625122
10,0.5619737505912781,34.439998626708984,1.5733333826065063,0.38299280405044556,249.25332641601562,6.746666431427002,0.7098134160041809,0.13121582567691803,214.81333923339844,5.173333168029785
11,0.5704605579376221,33.78666687011719,1.6399999856948853,0.37560635805130005,248.53334045410156,7.4666666984558105,0.7499158978462219,0.1484977900981903,214.74667358398438,5.826666831970215
12,0.5950861573219299,31.8266658782959,1.6799999475479126,0.3601040542125702,246.53334045410156,9.466666221618652,0.7858045697212219,0.19794636964797974,214.7066650390625,7.7866668701171875
13,0.619822084903717,29.786666870117188,2.0399999618530273,0.34391576051712036,244.13333129882812,11.866666793823242,0.8039095997810364,0.24905720353126526,214.34666442871094,9.826666831970215
14,0.630937933921814,28.866666793823242,2.0266666412353516,0.3354160487651825,243.22666931152344,12.773333549499512,0.8258075714111328,0.27125245332717896,214.36000061035156,10.74666690826416
15,0.6326850652694702,28.719999313354492,2.359999895095825,0.3297463059425354,242.74667358398438,13.25333309173584,0.817645788192749,0.27627241611480713,214.02667236328125,10.893333435058594
16,0.6511894464492798,27.34666633605957,2.359999895095825,0.31675225496292114,241.3733367919922,14.626667022705078,0.8419789671897888,0.31325018405914307,214.02667236328125,12.266666412353516
17,0.6656491756439209,26.14666748046875,2.0799999237060547,0.3024173974990845,240.45333862304688,15.546667098999023,0.8753619194030762,0.34086596965789795,214.30667114257812,13.466666221618652
18,0.6811674237251282,24.85333251953125,2.240000009536743,0.28977277874946594,239.0,17.0,0.8735983371734619,0.37267884612083435,214.14666748046875,14.760000228881836
19,0.6863037943840027,24.440000534057617,2.240000009536743,0.28639936447143555,238.586669921875,17.413333892822266,0.8702520728111267,0.38295671343803406,214.14666748046875,15.173333168029785
20,0.6884424090385437,24.293333053588867,2.2799999713897705,0.27742549777030945,238.39999389648438,17.600000381469727,0.8776894211769104,0.38739317655563354,214.10667419433594,15.319999694824219
21,0.6988939642906189,23.440000534057617,2.2933332920074463,0.26744598150253296,237.53334045410156,18.46666717529297,0.878828227519989,0.40837356448173523,214.0933380126953,16.1733341217041
22,0.7118492722511292,22.440000534057617,2.4666666984558105,0.2606663703918457,236.36000061035156,19.639999389648438,0.8805514574050903,0.435087114572525,213.9199981689453,17.1733341217041
