epoch,balanced_acc_m,fn_m,fp_m,loss,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_precision_m,val_neg_pred_m,val_neg_recall_m,val_pos_pred_m,val_precision_m,val_recall_m,val_tn_m,val_tp_m
0,0.49337366223335266,44.97435760498047,84.3974380493164,0.3567790687084198,0.4878678321838379,88.53845977783203,0.3391542136669159,167.46153259277344,0.49520590901374817,0.6475931406021118,43.56410217285156,83.06410217285156,0.5002588629722595,0.9152542352676392,88.16949462890625,0.6925250291824341,0.2951977550983429,1.4576271772384644,0.006006503943353891,254.54237365722656,0.6535933017730713,0.9945113062858582,0.5423728823661804,166.3728790283203
1,0.4964636266231537,42.10256576538086,86.4871826171875,0.3557503819465637,0.4899095892906189,83.56410217285156,0.3227942883968353,172.42308044433594,0.49772751331329346,0.6701329350471497,41.46154022216797,85.93589782714844,0.49999862909317017,0.9661017060279846,88.18643951416016,0.6918914914131165,0.28954800963401794,1.491525411605835,0.005792450159788132,254.5084686279297,0.6534762382507324,0.9942049384117126,0.5254237055778503,166.32203674316406
2,0.5011957883834839,56.589744567871094,71.16666412353516,0.35268017649650574,0.49963194131851196,113.38461303710938,0.44380059838294983,142.61538696289062,0.5025088787078857,0.5585911273956299,56.79487228393555,71.44871520996094,0.5002642273902893,0.9661017060279846,88.13558959960938,0.6911694407463074,0.30706217885017395,1.5423728227615356,0.006327470298856497,254.45762634277344,0.6536003947257996,0.994201123714447,0.5762711763381958,166.32203674316406
3,0.5138828158378601,76.34615325927734,48.012821197509766,0.3513828217983246,0.5099194049835205,156.2948760986328,0.62428218126297,99.70513153076172,0.520400881767273,0.40348339080810547,79.94871520996094,51.69230651855469,0.5005621910095215,0.9661017060279846,88.08474731445312,0.6896541118621826,0.3259887099266052,1.5932203531265259,0.006912556942552328,254.4067840576172,0.6537376642227173,0.9942119121551514,0.6271186470985413,166.32203674316406
4,0.5099138021469116,83.32051086425781,42.0512809753418,0.35022422671318054,0.5074036121368408,169.23077392578125,0.6712473630905151,86.76923370361328,0.5152010321617126,0.3485803008079529,85.9102554321289,44.71794891357422,0.5001552104949951,1.101694941520691,88.08474731445312,0.6881657242774963,0.30903956294059753,1.7288135290145874,0.006904365494847298,254.27117919921875,0.6535537838935852,0.9934061169624329,0.6271186470985413,166.1864471435547
5,0.5081790089607239,88.21794891357422,37.66666793823242,0.3494173586368561,0.5057670474052429,178.5128173828125,0.7058659195899963,77.4871826171875,0.5138214826583862,0.31049203872680664,90.29486846923828,39.82051467895508,0.49795788526535034,2.508474588394165,87.71186065673828,0.6881561279296875,0.2752017676830292,3.508474588394165,0.010928554460406303,252.4915313720703,0.6525616645812988,0.9849870800971985,1.0,164.7796630859375
6,0.5089663863182068,87.55128479003906,38.153846740722656,0.34879249334335327,0.5072039365768433,177.35897827148438,0.7016845345497131,78.64102935791016,0.5142794251441956,0.3162480890750885,89.80769348144531,40.487178802490234,0.4870574474334717,13.271186828613281,83.91525268554688,0.6903680562973022,0.26476815342903137,18.05084800720215,0.053436703979969025,237.9322052001953,0.6472444534301758,0.9206780195236206,4.779661178588867,154.01695251464844
7,0.5099837779998779,88.73076629638672,37.012821197509766,0.34831318259239197,0.5079782605171204,179.6794891357422,0.7118310928344727,76.32051086425781,0.5177488923072815,0.30813661217689514,90.94871520996094,39.30769348144531,0.5075838565826416,108.76271057128906,29.72881317138672,0.6954142451286316,0.35152363777160645,167.74575805664062,0.6654672026634216,88.25423431396484,0.6635787487030029,0.34970059990882874,58.98305130004883,58.52542495727539
8,0.5087970495223999,88.69230651855469,37.21794891357422,0.34795069694519043,0.5068414807319641,179.43589782714844,0.7093936800956726,76.56410217285156,0.513742983341217,0.30820050835609436,90.74359130859375,39.346153259277344,0.5147422552108765,132.13558959960938,16.084745407104492,0.6974324584007263,0.3547648787498474,204.76271057128906,0.819336473941803,51.23728942871094,0.6867239475250244,0.21014781296253204,72.62712097167969,35.15254211425781
9,0.5101455450057983,89.9102554321289,35.589744567871094,0.3478277027606964,0.5071701407432556,182.2820587158203,0.7223378419876099,73.71794891357422,0.5166136622428894,0.2979530990123749,92.37179565429688,38.128204345703125,0.5162160992622375,133.08474731445312,15.322033882141113,0.6978675127029419,0.35547134280204773,206.47457885742188,0.8280289769172668,49.52542495727539,0.6916230320930481,0.20440299808979034,73.38983154296875,34.20338821411133
10,0.5070061683654785,88.4102554321289,37.93589782714844,0.3477579355239868,0.5050786137580872,178.43589782714844,0.7039666175842285,77.56410217285156,0.5118715763092041,0.31004559993743896,90.02564239501953,39.628204345703125,0.5137919783592224,121.61016845703125,21.88135528564453,0.6969916820526123,0.35475659370422363,188.440673828125,0.7545672655105591,67.55931854248047,0.6770604252815247,0.2730168104171753,66.83050537109375,45.6779670715332
11,0.5141006112098694,86.78205108642578,37.69230651855469,0.34721675515174866,0.5088388919830322,177.05128479003906,0.705630362033844,78.94871520996094,0.5241082310676575,0.32257091999053955,90.26923370361328,41.25640869140625,0.503998875617981,104.61016845703125,32.559322357177734,0.6958910226821899,0.3490647077560425,160.76271057128906,0.6335614323616028,95.23728942871094,0.6586474776268005,0.37443628907203674,56.15254211425781,62.6779670715332
12,0.5097138285636902,87.64102935791016,37.769229888916016,0.3473403751850128,0.5069246292114258,177.8333282470703,0.7039989829063416,78.16666412353516,0.5161182880401611,0.31542879343032837,90.19230651855469,40.39743423461914,0.5158411860466003,127.81356048583984,18.220338821411133,0.6973151564598083,0.35559186339378357,198.30508422851562,0.7957513928413391,57.694915771484375,0.6849988698959351,0.23593100905418396,70.49152374267578,39.47457504272461
13,0.5161973834037781,85.69230651855469,38.35897445678711,0.3468432128429413,0.5118338465690613,175.2948760986328,0.7008411884307861,80.70513153076172,0.5261186361312866,0.33155351877212524,89.6025619506836,42.346153259277344,0.5044927597045898,84.52542114257812,43.050846099853516,0.6947957873344421,0.35036465525627136,130.1864471435547,0.5143665671348572,125.81356048583984,0.6578945517539978,0.4946190416812897,45.66101837158203,82.76271057128906
14,0.5093052983283997,86.5128173828125,39.16666793823242,0.34703588485717773,0.505455732345581,175.3076934814453,0.6938812732696533,80.69230651855469,0.5159350037574768,0.32472923398017883,88.79486846923828,41.52564239501953,0.5039447546005249,92.59322357177734,38.8983039855957,0.6950039863586426,0.3494803011417389,142.4067840576172,0.5615301728248596,113.59322357177734,0.6577813625335693,0.44635912775993347,49.813560485839844,74.69491577148438
15,0.5221735835075378,83.25640869140625,39.21794891357422,0.3464118540287018,0.5136680603027344,172.0,0.6938624978065491,84.0,0.5362038612365723,0.35048478841781616,88.74359130859375,44.78205108642578,0.5143415331840515,137.3728790283203,13.372880935668945,0.6975680589675903,0.3541550934314728,212.7118682861328,0.8499955534934998,43.28813552856445,0.6922286152839661,0.17868736386299133,75.33898162841797,29.915254592895508
16,0.5124744772911072,85.16666412353516,39.653846740722656,0.3467058539390564,0.5091777443885803,173.474365234375,0.6902369260787964,82.52564239501953,0.5203142166137695,0.3347124457359314,88.30769348144531,42.871795654296875,0.5042434334754944,77.45762634277344,46.813560485839844,0.694381058216095,0.35063186287879944,119.3559341430664,0.47159233689308167,136.64407348632812,0.6573033332824707,0.5368942618370056,41.8983039855957,89.83050537109375
17,0.5110752582550049,82.65384674072266,42.60256576538086,0.347005695104599,0.5080717206001282,168.0128173828125,0.6669390201568604,87.9871826171875,0.5176736116409302,0.35521167516708374,85.35897064208984,45.38461685180664,0.48629385232925415,36.576271057128906,71.74576568603516,0.6923998594284058,0.3169199526309967,53.54237365722656,0.1912187933921814,202.45762634277344,0.6456011533737183,0.781369149684906,16.966102600097656,130.7118682861328
18,0.5173460841178894,80.6025619506836,42.769229888916016,0.34664613008499146,0.5144203305244446,165.7948760986328,0.6650471091270447,90.20513153076172,0.5250556468963623,0.3696449398994446,85.19230651855469,47.43589782714844,0.4919449985027313,52.15254211425781,62.423728942871094,0.6933159828186035,0.33442530035972595,78.44068145751953,0.29567065834999084,177.559326171875,0.6483879089355469,0.688219428062439,26.288135528564453,115.13558959960938
19,0.5107460021972656,79.67948913574219,45.78205108642578,0.3468281328678131,0.5088030695915222,161.85897827148438,0.6429082155227661,94.14102935791016,0.5158946514129639,0.3785838484764099,82.17948913574219,48.35897445678711,0.4942874610424042,59.20338821411133,58.25423812866211,0.6935244798660278,0.3393862843513489,89.66101837158203,0.34235790371894836,166.3389892578125,0.6497350335121155,0.646216869354248,30.457626342773438,108.08474731445312
20,0.516753077507019,79.75640869140625,43.89743423461914,0.3467392325401306,0.514076292514801,163.8205108642578,0.656578004360199,92.17948913574219,0.5229715704917908,0.376928448677063,84.06410217285156,48.28205108642578,0.4990442097187042,67.83050537109375,52.830509185791016,0.6937080025672913,0.3455626368522644,103.71186065673828,0.40348902344703674,152.2881317138672,0.6530797481536865,0.5945994257926941,35.88135528564453,99.45762634277344
21,0.5108663439750671,77.78205108642578,47.64102554321289,0.34651634097099304,0.5087365508079529,158.10256958007812,0.6285160779953003,97.8974380493164,0.5161632299423218,0.39321669936180115,80.32051086425781,50.25640869140625,0.4854048788547516,27.491525650024414,76.69491577148438,0.6917752623558044,0.30373620986938477,39.50847625732422,0.1350424587726593,216.4915313720703,0.645733118057251,0.8357672691345215,12.016948699951172,139.79661560058594
22,0.5133513808250427,77.47435760498047,47.14102554321289,0.3466620147228241,0.5104771256446838,158.2948760986328,0.6315824389457703,97.70513153076172,0.5183221101760864,0.3951200842857361,80.82051086425781,50.56410217285156,0.4932191073894501,54.830509185791016,60.76271057128906,0.6931609511375427,0.3369410037994385,82.7796630859375,0.31425097584724426,173.2203369140625,0.6491456031799316,0.6721873879432678,27.94915199279785,112.45762634277344
