epoch,balanced_acc_m,fn_m,fp_m,loss,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m
0,0.4973325729370117,26.239999771118164,73.65333557128906,0.3403414785861969,0.8454059958457947,169.2133331298828,0.6601820588111877,86.78666687011719,0.1507112681865692,0.3344830870628357,142.97332763671875,13.133333206176758
1,0.5040740966796875,35.3466682434082,20.479999542236328,0.33649712800979614,0.8475246429443359,231.4933319091797,0.9055904150009155,24.50666618347168,0.1603449434041977,0.10255793482065201,196.14666748046875,4.026666641235352
2,0.5010769367218018,38.3466682434082,5.146666526794434,0.33325693011283875,0.8464980721473694,249.82666015625,0.9762281179428101,6.173333168029785,0.15594974160194397,0.025925736874341965,211.47999572753906,1.0266666412353516
3,0.4989849328994751,39.08000183105469,2.053333282470703,0.3303411900997162,0.845944344997406,253.65333557128906,0.9905408620834351,2.3466665744781494,0.11755555123090744,0.007428881246596575,214.57333374023438,0.2933333218097687
4,0.499178022146225,39.253334045410156,1.0533332824707031,0.3273773193359375,0.8459528684616089,254.82666015625,0.9951218962669373,1.1733332872390747,0.06666667014360428,0.003234089585021138,215.57333374023438,0.11999999731779099
5,0.5002869963645935,39.253334045410156,0.5199999809265137,0.32443082332611084,0.8462767004966736,255.36000061035156,0.9975941777229309,0.6399999856948853,0.10666666179895401,0.0029798008035868406,216.10667419433594,0.11999999731779099
6,0.5001245141029358,39.2933349609375,0.4000000059604645,0.3215412199497223,0.8462197184562683,255.52000427246094,0.9981483817100525,0.47999998927116394,0.07333333045244217,0.002100629499182105,216.22666931152344,0.07999999821186066
7,0.5001999139785767,39.31999969482422,0.18666666746139526,0.3186960518360138,0.846263587474823,255.75999450683594,0.9991441965103149,0.23999999463558197,0.04666665941476822,0.0012557130539789796,216.44000244140625,0.0533333346247673
8,0.5004096031188965,39.30666732788086,0.1733333319425583,0.31584903597831726,0.8463143706321716,255.75999450683594,0.999203085899353,0.23999999463558197,0.06666666269302368,0.0016160734230652452,216.45333862304688,0.06666667014360428
9,0.5006221532821655,39.30666732788086,0.07999999821186066,0.31302911043167114,0.8463665246963501,255.85333251953125,0.9996283054351807,0.14666666090488434,0.06666666269302368,0.0016160734230652452,216.54666137695312,0.06666667014360428
10,0.5007162690162659,39.30666732788086,0.03999999910593033,0.3102896809577942,0.8463929295539856,255.89332580566406,0.9998164772987366,0.1066666692495346,0.06666666269302368,0.001616073539480567,216.586669921875,0.06666667014360428
11,0.5005892515182495,39.31999969482422,0.03999999910593033,0.3075685203075409,0.8463496565818787,255.9066619873047,0.9998138546943665,0.09333333373069763,0.05333332717418671,0.0013645010767504573,216.586669921875,0.0533333346247673
12,0.5006202459335327,39.31999969482422,0.02666666731238365,0.30487459897994995,0.846358060836792,255.9199981689453,0.9998760223388672,0.07999999821186066,0.05333332717418671,0.0013645011931657791,216.60000610351562,0.0533333346247673
13,0.5006199479103088,39.31999969482422,0.02666666731238365,0.3022122085094452,0.8463575839996338,255.9199981689453,0.9998753666877747,0.07999999821186066,0.05333332717418671,0.0013645010767504573,216.60000610351562,0.0533333346247673
14,0.5006322860717773,39.31999969482422,0.013333333656191826,0.29959341883659363,0.8463651537895203,255.93333435058594,0.9999382495880127,0.06666667014360428,0.05333332717418671,0.001326218480244279,216.6133270263672,0.0533333346247673
15,0.5006322860717773,39.31999969482422,0.013333333656191826,0.29702821373939514,0.8463651537895203,255.93333435058594,0.9999382495880127,0.06666667014360428,0.05333332717418671,0.001326218480244279,216.6133270263672,0.0533333346247673
16,0.5005373358726501,39.33333206176758,0.0,0.2945019006729126,0.8463318943977356,255.9600067138672,1.0,0.03999999910593033,0.03999999538064003,0.001074646133929491,216.6266632080078,0.03999999910593033
17,0.5006631016731262,39.31999969482422,0.0,0.29200422763824463,0.8463733196258545,255.94667053222656,1.0,0.0533333346247673,0.05333332717418671,0.001326218480244279,216.6266632080078,0.0533333346247673
18,0.5004917979240417,39.33333206176758,0.0,0.28956717252731323,0.8463296294212341,255.9600067138672,1.0,0.03999999910593033,0.03999999538064003,0.000983548816293478,216.6266632080078,0.03999999910593033
19,0.5008080005645752,39.30666732788086,0.0,0.2871449589729309,0.8464162945747375,255.93333435058594,1.0,0.06666667014360428,0.06666666269302368,0.001616073539480567,216.6266632080078,0.06666667014360428
20,0.50080806016922,39.30666732788086,0.0,0.28477951884269714,0.8464162349700928,255.93333435058594,1.0,0.06666667014360428,0.06666666269302368,0.0016160734230652452,216.6266632080078,0.06666667014360428
21,0.500461220741272,39.33333206176758,0.0,0.28247392177581787,0.8463273644447327,255.9600067138672,1.0,0.03999999910593033,0.03999999538064003,0.000922379782423377,216.6266632080078,0.03999999910593033
