epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,tn_m,tp_m
0,0.49688270688056946,116.17987060546875,17.905780792236328,0.17312787473201752,135.7259063720703,120.2719497680664,19.546037673950195,102.36616516113281
1,0.4960065484046936,74.05353546142578,25.13704490661621,0.172702357172966,86.3683090209961,169.63169860839844,12.314775466918945,144.49464416503906
2,0.5012293457984924,86.54175567626953,22.462526321411133,0.1724386066198349,101.53105163574219,154.4689483642578,14.989293098449707,132.0064239501953
3,0.5055580139160156,96.34046936035156,20.447538375854492,0.17208077013492584,113.34475708007812,142.65524291992188,17.004281997680664,122.20771026611328
4,0.5252113342285156,123.43040466308594,14.381155967712402,0.17151066660881042,146.50106811523438,109.49893188476562,23.070663452148438,95.1177749633789
5,0.5368987917900085,128.14561462402344,12.725910186767578,0.1710437387228012,152.87152099609375,103.12847900390625,24.725910186767578,90.40257263183594
6,0.5407927632331848,125.17559051513672,13.02141284942627,0.17063648998737335,149.6060028076172,106.39186096191406,24.43040657043457,93.37045288085938
7,0.554498016834259,139.43896484375,9.503211975097656,0.16999077796936035,167.3875732421875,88.61241912841797,27.9486083984375,79.10920715332031
8,0.5577144026756287,136.486083984375,9.790149688720703,0.1694292277097702,164.1477508544922,91.85224914550781,27.661670684814453,82.06209564208984
9,0.5675308108329773,136.3661651611328,8.989293098449707,0.16855764389038086,164.8286895751953,91.1691665649414,28.462526321411133,82.17987060546875
10,0.5733792781829834,135.56959533691406,8.67665958404541,0.1678335815668106,164.34475708007812,91.65524291992188,28.77515983581543,82.97858428955078
11,0.5781006813049316,136.17987060546875,8.179871559143066,0.16739694774150848,165.45181274414062,90.54817962646484,29.271947860717773,82.3683090209961
12,0.5831632614135742,137.0235595703125,7.693789958953857,0.1662321835756302,166.78158569335938,89.21841430664062,29.75802993774414,81.52462768554688
13,0.5850942730903625,133.25267028808594,8.154175758361816,0.16596810519695282,162.55032348632812,93.44967651367188,29.297643661499023,85.29550170898438
14,0.5863388180732727,133.02783203125,8.122056007385254,0.16520757973194122,162.35760498046875,93.64239501953125,29.32976531982422,85.52033996582031
15,0.5894416570663452,129.8394012451172,8.40471076965332,0.1648053228855133,158.88650512695312,97.1113510131836,29.047109603881836,88.70663452148438
16,0.5900827646255493,128.20985412597656,8.588865280151367,0.1646348387002945,157.0727996826172,98.92719268798828,28.86295509338379,90.33833312988281
17,0.5914461612701416,129.12847900390625,8.29336166381836,0.16373656690120697,158.2869415283203,97.71305847167969,29.158458709716797,89.4197006225586
18,0.5960137248039246,127.28694152832031,8.316916465759277,0.16341552138328552,156.42184448242188,99.57815551757812,29.134902954101562,91.26124572753906
19,0.5923099517822266,123.85010528564453,9.119914054870605,0.16351492702960968,152.1820068359375,103.81798553466797,28.331905364990234,94.69807434082031
