epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_pred_m,val_pos_pred_m,val_tn_m,val_tp_m
0,0.5035093426704407,9.494949340820312,149.94949340820312,0.13605080544948578,87.26262664794922,168.7373809814453,77.7676773071289,18.787878036499023,0.5,3.4210526943206787,0.0,0.68666011095047,256.0,0.0,252.57894897460938,0.0
1,0.5708240866661072,12.88888931274414,91.62625885009766,0.1339116394519806,148.97979736328125,107.02020263671875,136.09091186523438,15.393939018249512,0.5,3.4210526943206787,0.0,0.6659032702445984,256.0,0.0,252.57894897460938,0.0
2,0.6266584396362305,12.090909004211426,73.20201873779297,0.12926442921161652,166.60606384277344,89.39393615722656,154.51515197753906,16.191919326782227,0.5,3.4210526943206787,0.0,0.6314607262611389,256.0,0.0,252.57894897460938,0.0
3,0.6738526821136475,11.151515007019043,59.47474670410156,0.12286354601383209,179.39393615722656,76.60606384277344,168.242431640625,17.13131332397461,0.49760672450065613,3.4210526943206787,1.2105263471603394,0.597607433795929,254.7894744873047,1.2105263471603394,251.36842346191406,0.0
4,0.7091895341873169,10.121212005615234,51.07070541381836,0.11424291133880615,186.76766967773438,69.2323226928711,176.64646911621094,18.1616153717041,0.4977704584598541,3.3684210777282715,3.78947377204895,0.5027746558189392,252.15789794921875,3.8421051502227783,248.7894744873047,0.05263157933950424
5,0.74224853515625,9.535353660583496,41.181819915771484,0.10602691769599915,196.07070922851562,59.92929458618164,186.5353546142578,18.747474670410156,0.4790436625480652,3.263157844543457,19.0,0.4929041564464569,236.84210205078125,19.157894134521484,233.57894897460938,0.15789473056793213
6,0.7770814299583435,8.262626647949219,35.5959587097168,0.09625034779310226,200.3838348388672,55.61616134643555,192.1212158203125,20.02020263671875,0.531201183795929,2.736842155456543,39.6315803527832,0.515728771686554,215.6842041015625,40.31578826904297,212.94737243652344,0.6842105388641357
7,0.797400176525116,7.636363506317139,31.272727966308594,0.08937174826860428,204.080810546875,51.919193267822266,196.44444274902344,20.646465301513672,0.5294052958488464,2.8421051502227783,38.105262756347656,0.4772101938724518,217.3157958984375,38.68421173095703,214.4736785888672,0.5789473652839661
8,0.8236133456230164,6.44444465637207,29.11111068725586,0.08095250278711319,205.05050659179688,50.949493408203125,198.60606384277344,21.8383846282959,0.4775477349758148,2.9473683834075928,49.894737243652344,0.5187913775444031,205.63157653808594,50.3684196472168,202.6842041015625,0.4736842215061188
9,0.8453419804573059,5.5858588218688965,26.121212005615234,0.07328668981790543,207.18182373046875,48.818180084228516,201.59596252441406,22.696969985961914,0.5120946168899536,2.736842155456543,47.52631759643555,0.5082241296768188,207.7894744873047,48.21052551269531,205.05262756347656,0.6842105388641357
10,0.862113893032074,4.878787994384766,23.656564712524414,0.06642560660839081,208.93939208984375,47.06060791015625,204.06060791015625,23.404041290283203,0.5286693572998047,2.5789473056793213,52.21052551269531,0.55305415391922,202.94737243652344,53.05263137817383,200.36842346191406,0.8421052694320679
11,0.8797646760940552,4.0505051612854,22.22222137451172,0.06054513528943062,209.5454559326172,46.45454406738281,205.4949493408203,24.232322692871094,0.4858904480934143,3.0,44.578948974609375,0.5049234628677368,211.0,45.0,208.0,0.42105263471603394
12,0.8896297216415405,3.8080809116363525,20.101009368896484,0.05590018257498741,211.4242401123047,44.57575607299805,207.6161651611328,24.474746704101562,0.47746556997299194,3.1578948497772217,33.105262756347656,0.4287905991077423,222.63157653808594,33.3684196472168,219.4736785888672,0.2631579041481018
13,0.907357394695282,2.676767587661743,20.66666603088379,0.05102908983826637,209.72727966308594,46.272727966308594,207.05050659179688,25.606060028076172,0.5143061280250549,3.0,28.210525512695312,0.3845958411693573,227.36842346191406,28.63157844543457,224.36842346191406,0.42105263471603394
14,0.9144794344902039,2.454545497894287,19.717172622680664,0.04701796546578407,210.4545440673828,45.54545593261719,208.0,25.828283309936523,0.5315716862678528,2.8947367668151855,32.578948974609375,0.40916624665260315,222.8947296142578,33.105262756347656,220.0,0.5263158082962036
15,0.9291423559188843,1.878787875175476,17.303030014038086,0.042129915207624435,212.2929229736328,43.707069396972656,210.4141387939453,26.404041290283203,0.5047338008880615,2.21052622795105,103.52631378173828,0.9541351199150085,151.26315307617188,104.7368392944336,149.05262756347656,1.2105263471603394
16,0.9362348914146423,1.545454502105713,16.919191360473633,0.038779545575380325,212.3434295654297,43.65656661987305,210.7979736328125,26.73737335205078,0.5120345950126648,3.0526316165924072,31.36842155456543,0.3988643288612366,224.26315307617188,31.736841201782227,221.2105255126953,0.3684210479259491
17,0.9375588893890381,1.6464647054672241,15.383838653564453,0.0370107963681221,213.97979736328125,42.02020263671875,212.3333282470703,26.636363983154297,0.5082463026046753,2.736842155456543,56.105262756347656,0.6003523468971252,199.2105255126953,56.78947448730469,196.4736785888672,0.6842105388641357
18,0.9417593479156494,1.494949460029602,14.969696998596191,0.03529231622815132,214.242431640625,41.75757598876953,212.7474822998047,26.787878036499023,0.5228721499443054,2.526315689086914,64.21052551269531,0.6890287399291992,190.8947296142578,65.10526275634766,188.36842346191406,0.8947368264198303
19,0.9421098232269287,1.424242377281189,15.484848022460938,0.0356246717274189,213.6565704345703,42.34343338012695,212.23233032226562,26.858585357666016,0.5257245898246765,2.473684310913086,66.10526275634766,0.7088391780853271,188.94737243652344,67.0526351928711,186.4736785888672,0.9473684430122375
