epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m
0,0.6024060845375061,125.81202697753906,8.99097728729248,0.18980319797992706,162.08570861816406,93.9142837524414,0.9123914837837219,0.4030872881412506,36.273685455322266,84.92330932617188
1,0.6051567792892456,124.46916961669922,8.992481231689453,0.1888638138771057,160.74134826660156,95.2586441040039,0.9127728939056396,0.4093095064163208,36.272178649902344,86.26616668701172
2,0.6076449751853943,123.57292938232422,8.944360733032227,0.18828615546226501,159.8932342529297,96.10676574707031,0.9135711193084717,0.4134923815727234,36.3203010559082,87.16240692138672
3,0.6102598309516907,122.63459014892578,8.914285659790039,0.187772735953331,158.98495483398438,97.0150375366211,0.914918065071106,0.41804373264312744,36.35037612915039,88.10075378417969
4,0.6126667857170105,121.47368621826172,8.932331085205078,0.18715070188045502,157.80601501464844,98.1924819946289,0.9157007932662964,0.4234468638896942,36.332332611083984,89.26014709472656
5,0.6120596528053284,119.96992492675781,9.266165733337402,0.18714013695716858,155.96841430664062,100.03157806396484,0.9155305624008179,0.4304225742816925,35.998497009277344,90.76541137695312
6,0.6164276003837585,119.0150375366211,9.121804237365723,0.1861748993396759,155.15789794921875,100.84210205078125,0.9172196984291077,0.4350186288356781,36.14285659790039,91.72029876708984
7,0.6195136308670044,117.22105407714844,9.177443504333496,0.1856628656387329,153.3082733154297,102.69172668457031,0.9179170727729797,0.44334524869918823,36.08721923828125,93.5142822265625
8,0.6206358671188354,114.90074920654297,9.557894706726074,0.18498966097831726,150.60751342773438,105.3924789428711,0.9175318479537964,0.45433396100997925,35.70676803588867,95.83458709716797
9,0.6199022531509399,114.74736785888672,9.651127815246582,0.1847744584083557,150.36090087890625,105.63909912109375,0.9165140986442566,0.4550160765647888,35.61353302001953,95.98796844482422
10,0.6241896152496338,114.1924819946289,9.369924545288086,0.1842287927865982,150.08721923828125,105.91278076171875,0.9194123148918152,0.45758768916130066,35.894737243652344,96.54285430908203
11,0.6262322068214417,111.41654205322266,9.778947830200195,0.18309642374515533,146.90225219726562,109.09774780273438,0.919111967086792,0.4707240164279938,35.485713958740234,99.31879425048828
12,0.6288025975227356,109.04962158203125,9.966917037963867,0.18261253833770752,144.3473663330078,111.65263366699219,0.9189122915267944,0.4817245602607727,35.29774475097656,101.68571472167969
13,0.6311050653457642,106.08421325683594,10.386466026306152,0.18196237087249756,140.96240234375,115.03759765625,0.9181477427482605,0.49557018280029297,34.878196716308594,104.65113067626953
14,0.633571207523346,102.1187973022461,11.046616554260254,0.18151170015335083,136.3368377685547,119.66315460205078,0.9163512587547302,0.514620840549469,34.21804428100586,108.61653900146484
15,0.6392961144447327,100.37744140625,10.917293548583984,0.1804588884115219,134.7248077392578,121.27518463134766,0.9183239340782166,0.5228692293167114,34.34737014770508,110.35789489746094
16,0.6403593420982361,98.74586486816406,11.103759765625,0.17922163009643555,132.90676879882812,123.09323120117188,0.9179930090904236,0.5303985476493835,34.16090393066406,111.98947143554688
17,0.6444141864776611,97.49172973632812,11.0,0.17891056835651398,131.7563934326172,124.24360656738281,0.9177426695823669,0.5363888740539551,34.2646598815918,113.24360656738281
18,0.6477795839309692,93.85563659667969,11.472180366516113,0.17808158695697784,127.64811706542969,128.3518829345703,0.9171906113624573,0.5534815192222595,33.79248046875,116.87969970703125
19,0.6478315591812134,94.2631607055664,11.386466026306152,0.1777840256690979,128.141357421875,127.85865020751953,0.9173451066017151,0.5515998005867004,33.878196716308594,116.47218322753906
20,0.6498833298683167,92.34135437011719,11.590977668762207,0.17728276550769806,126.0150375366211,129.98495483398438,0.9176953434944153,0.5606038570404053,33.673683166503906,118.39398193359375
