epoch,balanced_acc_m,fn_m,fp_m,loss,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_precision_m,val_neg_pred_m,val_neg_recall_m,val_pos_pred_m,val_precision_m,val_recall_m,val_tn_m,val_tp_m
0,0.5039246678352356,76.66666412353516,50.52564239501953,0.3475901186466217,0.4987359642982483,154.2051239013672,0.6067037582397461,101.79486846923828,0.5400612354278564,0.40114545822143555,77.53845977783203,51.269229888916016,0.5,0.0,86.98304748535156,0.6879310011863708,0.0,0.0,0.0,256.0,0.6602224707603455,1.0,0.0,169.01695251464844
1,0.5013064742088318,52.75640869140625,74.8974380493164,0.34552833437919617,0.5005159974098206,105.92308044433594,0.4147397577762604,150.07691955566406,0.501880943775177,0.5878733396530151,53.16666793823242,75.17948913574219,0.5000438690185547,0.016949152573943138,86.96610260009766,0.6883828043937683,0.01694915071129799,0.033898305147886276,0.00018625443044584244,255.96609497070312,0.6602434515953064,0.9999014735221863,0.016949152573943138,169.0
2,0.49767690896987915,61.0,67.73076629638672,0.34506306052207947,0.4889086186885834,121.33333587646484,0.4717828333377838,134.6666717529297,0.5081490874290466,0.5235713124275208,60.33333206176758,66.93589782714844,0.500164270401001,0.033898305147886276,86.93220520019531,0.6883113384246826,0.05084744840860367,0.08474576473236084,0.0005350391729734838,255.91525268554688,0.6603000164031982,0.9997934699058533,0.050847455859184265,168.98304748535156
3,0.4926975965499878,42.21794891357422,87.80769348144531,0.34461137652397156,0.47435852885246277,82.47435760498047,0.31485715508461,173.525634765625,0.5017685294151306,0.6705380082130432,40.25640869140625,85.71794891357422,0.5022381544113159,0.1525423675775528,86.50847625732422,0.6893584728240967,0.36864402890205383,0.6271186470985413,0.005376605316996574,255.3728790283203,0.6612367033958435,0.9990997910499573,0.47457626461982727,168.86441040039062
4,0.503538966178894,61.52564239501953,65.69230651855469,0.344177782535553,0.49228769540786743,123.8974380493164,0.48707589507102966,132.10256958007812,0.5170629620552063,0.5200021862983704,62.371795654296875,66.4102554321289,0.5094109177589417,3.0,83.83050537109375,0.690946102142334,0.5244340300559998,6.152542591094971,0.03655637428164482,249.8474578857422,0.6644977927207947,0.9822653532028198,3.1525423526763916,166.01695251464844
5,0.517230749130249,65.03845977783203,57.93589782714844,0.343884140253067,0.5107976794242859,135.1666717529297,0.5445989370346069,120.83333587646484,0.5320975184440613,0.4898622930049896,70.12820434570312,62.89743423461914,0.5195043683052063,0.7796609997749329,83.18643951416016,0.68524169921875,0.8454264402389526,4.576271057128906,0.04364331439137459,251.42372131347656,0.6691045165061951,0.9953656196594238,3.796610116958618,168.23728942871094
6,0.511318027973175,55.93589782714844,69.20513153076172,0.3432837128639221,0.5032919645309448,114.79486846923828,0.4595249891281128,141.2051239013672,0.5176379084587097,0.5631110072135925,58.85897445678711,72.0,0.5441834330558777,138.5084686279297,8.016948699951172,0.6908825635910034,0.3629435896873474,217.47457885742188,0.9079668521881104,38.52542495727539,0.7940925359725952,0.18040020763874054,78.96610260009766,30.508474349975586
7,0.5250821709632874,69.80769348144531,51.42307662963867,0.3426526188850403,0.5165732502937317,146.44871520996094,0.5965588688850403,109.55128479003906,0.5359423756599426,0.45360565185546875,76.64102935791016,58.128204345703125,0.520331084728241,1.1864407062530518,82.84745788574219,0.6759267449378967,0.7810311913490295,5.322033882141113,0.04769602417945862,250.67796325683594,0.6695025563240051,0.9929665327072144,4.135593414306641,167.83050537109375
8,0.5199463367462158,53.78205108642578,68.70513153076172,0.34236690402030945,0.5164027810096741,113.14102935791016,0.4618012011051178,142.84616088867188,0.5248807072639465,0.5780916810035706,59.35897445678711,74.14102935791016,0.5338431596755981,151.0,3.3728814125061035,0.6914410591125488,0.35627877712249756,234.61016845703125,0.9612635970115662,21.389829635620117,0.8418654799461365,0.10642265528440475,83.61016845703125,18.016948699951172
9,0.5443989634513855,67.76923370361328,48.57692337036133,0.34156906604766846,0.5406742691993713,147.25640869140625,0.6196393966674805,108.74359130859375,0.5548691153526306,0.46915850043296814,79.4871826171875,60.16666793823242,0.5526195168495178,131.76271057128906,10.016948699951172,0.6905155777931213,0.3685891330242157,208.72882080078125,0.8848896622657776,47.27118682861328,0.7887004017829895,0.22034938633441925,76.96610260009766,37.25423812866211
