epoch,balanced_acc_m,fn_m,fp_m,loss,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_precision_m,val_neg_pred_m,val_neg_recall_m,val_pos_pred_m,val_precision_m,val_recall_m,val_tn_m,val_tp_m
10,0.5,40.38666534423828,0.0,0.22066645324230194,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.3517651855945587,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
11,0.5,40.38666534423828,0.0,0.22033029794692993,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.3491940498352051,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
12,0.5,40.38666534423828,0.0,0.22016265988349915,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.34716907143592834,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
13,0.5,40.38666534423828,0.0,0.22008028626441956,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.34586018323898315,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
14,0.5,40.38666534423828,0.0,0.22004348039627075,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.34520167112350464,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
15,0.5,40.38666534423828,0.0,0.2200295329093933,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.3446909785270691,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
16,0.5,40.38666534423828,0.0,0.22000974416732788,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.3442809283733368,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
17,0.5,40.38666534423828,0.0,0.21999841928482056,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.3442074954509735,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
18,0.5,40.38666534423828,0.0,0.2200014293193817,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.3438583314418793,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
19,0.5,40.38666534423828,0.0,0.21996167302131653,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.34417179226875305,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
20,0.5,40.38666534423828,0.0,0.2199108600616455,0.8422395586967468,256.0,1.0,0.0,0.0,0.0,215.6133270263672,0.0,0.5,25.75,0.0,0.3449898362159729,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
21,0.5001550316810608,40.37333297729492,0.0,0.21978706121444702,0.8422831296920776,255.98666381835938,1.0,0.013333333656191826,0.013333331793546677,0.000310077506583184,215.6133270263672,0.013333333656191826,0.5,25.75,0.0,0.3483846187591553,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
22,0.5008785724639893,40.2933349609375,0.1066666692495346,0.21898745000362396,0.842481255531311,255.8000030517578,0.9995083808898926,0.20000000298023224,0.09333332628011703,0.002248808043077588,215.5066680908203,0.09333333373069763,0.5,25.75,0.0,0.3568589687347412,0.8994140625,256.0,1.0,0.0,0.0,0.0,230.25,0.0
23,0.5033753514289856,40.0533332824707,0.2800000011920929,0.21521367132663727,0.843162477016449,255.3866729736328,0.9986976385116577,0.6133333444595337,0.21111111342906952,0.008053057827055454,215.3333282470703,0.3333333432674408,0.5000730156898499,25.727272033691406,0.20454545319080353,0.3604676425457001,0.8994159698486328,255.77272033691406,0.9991129040718079,0.22727273404598236,0.022727269679307938,0.0010330579243600368,230.0454559326172,0.022727273404598236
24,0.5254431366920471,38.119998931884766,1.0266666412353516,0.20771126449108124,0.849165141582489,252.7066650390625,0.9952298998832703,3.2933332920074463,0.6461554169654846,0.055656228214502335,214.586669921875,2.2666666507720947,0.502889096736908,25.522727966308594,0.6590909361839294,0.3530784547328949,0.8999552130699158,255.11363220214844,0.9971405267715454,0.8863636255264282,0.1723484843969345,0.008637583814561367,229.59091186523438,0.22727273404598236
25,0.5465519428253174,36.31999969482422,1.6666666269302368,0.20037685334682465,0.8549321293830872,250.26666259765625,0.9922999143600464,5.733333110809326,0.6852745413780212,0.10080397129058838,213.94667053222656,4.066666603088379,0.5050836205482483,25.363636016845703,1.0,0.33432215452194214,0.9003838896751404,254.61363220214844,0.9956614971160889,1.3863636255264282,0.2234848141670227,0.01450567226856947,229.25,0.3863636255264282
26,0.5719292759895325,34.2400016784668,1.7200000286102295,0.192792609333992,0.8621259331703186,248.13333129882812,0.9920372366905212,7.866666793823242,0.7587899565696716,0.1518213152885437,213.89332580566406,6.146666526794434,0.5138327479362488,24.81818199157715,1.7272727489471436,0.34613046050071716,0.9020358920097351,253.34091186523438,0.9925063848495483,2.659090995788574,0.3477272391319275,0.0351591594517231,228.52272033691406,0.9318181872367859
27,0.5907981395721436,32.68000030517578,2.066666603088379,0.18778060376644135,0.8674342632293701,246.22666931152344,0.9904245734214783,9.773333549499512,0.7616602182388306,0.19117195904254913,213.54666137695312,7.706666469573975,0.5079216957092285,25.18181800842285,1.25,0.32276174426078796,0.9009353518486023,254.18182373046875,0.9945842623710632,1.8181818723678589,0.28089824318885803,0.021258996799588203,229.0,0.5681818127632141
28,0.6183087229728699,30.453332901000977,2.1066665649414062,0.17922961711883545,0.8753922581672668,243.9600067138672,0.9902398586273193,12.039999961853027,0.8158321976661682,0.2463776171207428,213.5066680908203,9.933333396911621,0.5105679035186768,25.045454025268555,1.3636363744735718,0.31926000118255615,0.9013844132423401,253.93182373046875,0.9940990805625916,2.0681817531585693,0.3214285671710968,0.027036838233470917,228.88636779785156,0.7045454382896423
29,0.6396673917770386,28.68000030517578,2.4666666984558105,0.17364297807216644,0.8816565871238708,241.82666015625,0.9886093139648438,14.173333168029785,0.8023423552513123,0.2907254993915558,213.14666748046875,11.706666946411133,0.514351487159729,24.795454025268555,1.9772727489471436,0.32399049401283264,0.9020342230796814,253.06817626953125,0.991426408290863,2.9318182468414307,0.31485387682914734,0.03727665916085243,228.27272033691406,0.9545454382896423
30,0.6544636487960815,27.373332977294922,2.799999952316284,0.16830748319625854,0.8863282203674316,240.18666076660156,0.9870558381080627,15.813333511352539,0.7907403111457825,0.32187148928642273,212.81333923339844,13.013333320617676,0.5373583436012268,23.204545974731445,4.931818008422852,0.3565332293510437,0.9066101312637329,248.52272033691406,0.9785671830177307,7.4772725105285645,0.33697932958602905,0.09614933282136917,225.31817626953125,2.545454502105713
31,0.6697811484336853,26.14666748046875,2.5999999046325684,0.16238164901733398,0.8909827470779419,239.16000366210938,0.9879623651504517,16.84000015258789,0.8425219058990479,0.3515999913215637,213.01333618164062,14.239999771118164,0.5389156341552734,23.204545974731445,4.5,0.34574395418167114,0.9067865610122681,248.9545440673828,0.9804502725601196,7.045454502105713,0.34889477491378784,0.09738142788410187,225.75,2.545454502105713
32,0.6847302913665771,24.986665725708008,2.626666784286499,0.15817753970623016,0.8954347968101501,237.97332763671875,0.9878548383712769,18.02666664123535,0.8570350408554077,0.3816063106060028,212.98666381835938,15.399999618530273,0.5254910588264465,24.045454025268555,3.25,0.3286184072494507,0.9042249321937561,251.0454559326172,0.9859025478363037,4.954545497894287,0.3752344846725464,0.06507954001426697,227.0,1.704545497894287
33,0.6959041953086853,23.986665725708008,2.640000104904175,0.15371690690517426,0.8991329073905945,236.9600067138672,0.9877442717552185,19.040000915527344,0.8709454536437988,0.40406396985054016,212.97332763671875,16.399999618530273,0.5331686735153198,23.590909957885742,3.954545497894287,0.33601534366607666,0.9056018590927124,249.88636779785156,0.9828202724456787,6.113636493682861,0.3306941092014313,0.08351709693670273,226.2954559326172,2.159090995788574
34,0.7105470895767212,22.906665802001953,2.3466665744781494,0.14959979057312012,0.903495192527771,236.17333984375,0.9891425371170044,19.8266658782959,0.8712669014930725,0.43195176124572754,213.26666259765625,17.479999542236328,0.5180226564407349,24.56818199157715,2.3181817531585693,0.32090476155281067,0.902710497379303,252.5,0.9899402856826782,3.5,0.3607413172721863,0.046104978770017624,227.93182373046875,1.1818181276321411
35,0.7221219539642334,21.866666793823242,2.693333387374878,0.14459584653377533,0.9073897004127502,234.7866668701172,0.9875747561454773,21.213333129882812,0.8747636079788208,0.45666900277137756,212.9199981689453,18.520000457763672,0.5270265340805054,24.022727966308594,3.045454502105713,0.3256492018699646,0.9043916463851929,251.22727966308594,0.9867721199989319,4.7727274894714355,0.3610750436782837,0.06728077679872513,227.2045440673828,1.7272727489471436
36,0.7196584939956665,22.1733341217041,2.3466665744781494,0.14572812616825104,0.9064252972602844,235.44000244140625,0.9891210794448853,20.559999465942383,0.8558657765388489,0.4501963257789612,213.26666259765625,18.213333129882812,0.5367477536201477,23.363636016845703,4.386363506317139,0.33539214730262756,0.9062845706939697,249.22727966308594,0.980975329875946,6.7727274894714355,0.3521718680858612,0.09252035617828369,225.86363220214844,2.3863637447357178
37,0.7310945391654968,21.1733341217041,2.6666667461395264,0.1422458440065384,0.9101756811141968,234.1199951171875,0.98764568567276,21.8799991607666,0.8631411790847778,0.4745434522628784,212.94667053222656,19.213333129882812,0.5199077129364014,24.43181800842285,2.840909004211426,0.32504260540008545,0.9030120372772217,251.84091186523438,0.9876708388328552,4.159090995788574,0.3373827040195465,0.05214456468820572,227.40908813476562,1.3181818723678589
38,0.7387223243713379,20.49333381652832,2.640000104904175,0.13836395740509033,0.9127588868141174,233.46665954589844,0.987765371799469,22.53333282470703,0.8592911958694458,0.48967936635017395,212.97332763671875,19.893333435058594,0.5212695598602295,24.386363983154297,2.5227272510528564,0.3223961293697357,0.9032911658287048,252.11363220214844,0.9890531301498413,3.8863637447357178,0.3932359516620636,0.05348602309823036,227.72727966308594,1.3636363744735718
39,0.7437344193458557,20.293333053588867,2.240000009536743,0.13671645522117615,0.9138756394386292,233.6666717529297,0.9896399974822998,22.33333396911621,0.8766425848007202,0.4978284239768982,213.3733367919922,20.093334197998047,0.5318750143051147,23.68181800842285,3.6136362552642822,0.328431099653244,0.9053938388824463,250.31817626953125,0.9843018054962158,5.681818008422852,0.3845008611679077,0.07944813370704651,226.63636779785156,2.0681817531585693
40,0.7512335777282715,19.68000030517578,2.133333444595337,0.13281024992465973,0.9162623286247253,233.16000366210938,0.9901531934738159,22.84000015258789,0.9081416726112366,0.5123143196105957,213.47999572753906,20.706666946411133,0.5327778458595276,23.659090042114258,3.4318182468414307,0.327019602060318,0.905548095703125,250.47727966308594,0.9851005673408508,5.5227274894714355,0.3765643835067749,0.08045497536659241,226.81817626953125,2.090909004211426
41,0.7657846808433533,18.46666717529297,2.1600000858306885,0.1286877691745758,0.920823872089386,231.9199981689453,0.9899942278862,24.079999923706055,0.9107993841171265,0.5415749549865723,213.45333862304688,21.920000076293945,0.5612261295318604,21.840909957885742,6.818181991577148,0.34757593274116516,0.9109546542167664,245.27272033691406,0.9703831076622009,10.727272987365723,0.3575291633605957,0.15206891298294067,223.43182373046875,3.909090995788574
42,0.7623358368873596,18.760000228881836,2.18666672706604,0.1297498494386673,0.9199556708335876,232.18666076660156,0.9898985624313354,23.81333351135254,0.8981805443763733,0.5347732305526733,213.42666625976562,21.626667022705078,0.5366767644882202,23.386363983154297,4.2272725105285645,0.3295800983905792,0.9062374234199524,249.40908813476562,0.9816520810127258,6.590909004211426,0.36376506090164185,0.09170158207416534,226.02272033691406,2.3636362552642822
43,0.7727017998695374,18.0,1.7066667079925537,0.1237563043832779,0.9229634404182434,231.9066619873047,0.9920769333839417,24.093334197998047,0.933016836643219,0.5533264875411987,213.9066619873047,22.386667251586914,0.5478036999702454,22.659090042114258,5.2727274894714355,0.33448389172554016,0.9085329174995422,247.63636779785156,0.9771417379379272,8.363636016845703,0.3609837591648102,0.11846598982810974,224.97727966308594,3.090909004211426
44,0.7785041332244873,17.46666717529297,2.1600000858306885,0.12324652075767517,0.9250580072402954,230.9199981689453,0.9899761080741882,25.079999923706055,0.8916572332382202,0.5670323371887207,213.45333862304688,22.920000076293945,0.5442214012145996,22.909090042114258,4.7727274894714355,0.3333915174007416,0.9077953100204468,248.38636779785156,0.9793096780776978,7.613636493682861,0.3824409246444702,0.10913323611021042,225.47727966308594,2.840909004211426
