epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,tn_m,tp_m
0,0.4977036118507385,104.1717300415039,21.682958602905273,0.18890340626239777,124.1321029663086,131.86790466308594,19.960369110107422,110.18494415283203
1,0.5009338855743408,109.30118560791016,20.25759506225586,0.18880775570869446,130.68692016601562,125.31043243408203,21.385732650756836,105.05284118652344
2,0.5030316114425659,113.75825500488281,19.340818405151367,0.1887730360031128,136.06076049804688,119.93791198730469,22.302509307861328,100.59709167480469
3,0.5105153918266296,126.34346008300781,16.301189422607422,0.18873034417629242,151.68560791015625,104.31307983398438,25.342140197753906,88.01188659667969
4,0.5335772037506104,149.61691284179688,9.813738822937012,0.18809153139591217,181.44650268554688,74.55349731445312,31.82958984375,64.73976135253906
5,0.5622758865356445,145.82034301757812,8.12285327911377,0.1864957958459854,179.3408203125,76.6591796875,33.520477294921875,68.53633117675781
6,0.5732704997062683,138.5257568359375,8.614266395568848,0.18478742241859436,171.55482482910156,84.44517517089844,33.02906036376953,75.8309097290039
7,0.5773475766181946,136.10171508789062,8.704094886779785,0.18339213728904724,169.04095458984375,86.95904541015625,32.93923568725586,78.25495147705078
8,0.5835267901420593,135.30911254882812,8.346102714538574,0.1823415458202362,168.60633850097656,87.39366149902344,33.29722595214844,79.04755401611328
9,0.5837616920471191,133.62747192382812,8.639366149902344,0.18123216927051544,166.63143920898438,89.36856079101562,33.003963470458984,80.72919464111328
10,0.5879968404769897,132.38705444335938,8.49933910369873,0.18073084950447083,165.53103637695312,90.46895599365234,33.14398956298828,81.96961975097656
11,0.5909585952758789,131.09510803222656,8.50066089630127,0.1800728142261505,164.23777770996094,91.76222229003906,33.142669677734375,83.26155853271484
12,0.5959864258766174,130.06076049804688,8.295905113220215,0.17919029295444489,163.40818786621094,92.59181213378906,33.3474235534668,84.29590606689453
13,0.5966985821723938,129.6393585205078,8.265522003173828,0.17877785861492157,163.0171661376953,92.98282623291016,33.3778076171875,84.7173080444336
14,0.5998305678367615,128.7476806640625,8.20079231262207,0.1783478558063507,162.1902313232422,93.80977630615234,33.442535400390625,85.6089859008789
15,0.6014485955238342,128.52708435058594,8.150594711303711,0.17796087265014648,162.0198211669922,93.98018646240234,33.492733001708984,85.82958984375
16,0.603801429271698,128.18362426757812,7.957727909088135,0.17724081873893738,161.8692169189453,94.13078308105469,33.68560028076172,86.17304992675781
17,0.6040447354316711,127.3408203125,8.06605052947998,0.1769527941942215,160.9180908203125,95.08190155029297,33.57727813720703,87.01585388183594
18,0.6058828234672546,126.7199478149414,8.10303783416748,0.17652201652526855,160.26023864746094,95.73976135253906,33.54029083251953,87.63672637939453
19,0.6072964668273926,125.70409393310547,8.10964298248291,0.1759747415781021,159.23777770996094,96.76222229003906,33.53368377685547,88.65257263183594
