epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m
0,0.48754143714904785,2.7287232875823975,3.920212745666504,0.25441721081733704,10.952127456665039,5.047872543334961,0.23967064917087555,0.2947315275669098,8.223403930664062,1.127659559249878
1,0.5387471914291382,1.707446813583374,5.702127456665039,0.25184574723243713,8.14893627166748,7.8510637283325195,0.2801876962184906,0.5461184978485107,6.441489219665527,2.1489362716674805
2,0.5497862696647644,1.2819149494171143,6.627659797668457,0.2500053644180298,6.797872543334961,9.202127456665039,0.2789659798145294,0.6448518633842468,5.515957355499268,2.5744681358337402
3,0.604094386100769,0.9840425252914429,6.468085289001465,0.24336634576320648,6.659574508666992,9.340425491333008,0.3076212406158447,0.7388172745704651,5.67553186416626,2.872340440750122
4,0.6475667953491211,0.6170212626457214,6.452127456665039,0.23137575387954712,6.308510780334473,9.691489219665527,0.3338932394981384,0.8248607516288757,5.691489219665527,3.2393617630004883
5,0.6892637610435486,0.5691489577293396,5.611701965332031,0.21662627160549164,7.1010637283325195,8.89893627166748,0.37246599793434143,0.8361830115318298,6.531914710998535,3.28723406791687
6,0.7296160459518433,0.457446813583374,5.07446813583374,0.20228157937526703,7.526595592498779,8.473403930664062,0.40499114990234375,0.8714920878410339,7.069149017333984,3.3989362716674805
7,0.7249908447265625,0.5372340679168701,4.835106372833252,0.19757027924060822,7.845744609832764,8.154254913330078,0.41010886430740356,0.8431675434112549,7.308510780334473,3.3191490173339844
8,0.756632924079895,0.5053191781044006,4.223404407501221,0.18280448019504547,8.425532341003418,7.57446813583374,0.44765540957450867,0.8545781970024109,7.920212745666504,3.3510637283325195
9,0.7938241362571716,0.3882978856563568,3.792553186416626,0.16683249175548553,8.739361763000488,7.260638236999512,0.4848133623600006,0.8924391865730286,8.35106372833252,3.4680850505828857
10,0.8165972828865051,0.3085106313228607,3.46276593208313,0.15143750607967377,8.989361763000488,7.010638236999512,0.5094867944717407,0.9100810885429382,8.680850982666016,3.547872304916382
0,0.49841272830963135,1.4255318641662598,7.585106372833252,0.2544284164905548,5.973404407501221,10.026596069335938,0.2409820556640625,0.6238793134689331,4.547872543334961,2.4414894580841064
1,0.5215655565261841,1.8457447290420532,5.670212745666504,0.2523958384990692,8.308510780334473,7.691489219665527,0.2714601457118988,0.5084790587425232,6.462766170501709,2.0212767124176025
2,0.5689704418182373,1.851063847541809,4.696808338165283,0.2464989572763443,9.28723430633545,6.712766170501709,0.31965819001197815,0.5204343795776367,7.4361701011657715,2.0159573554992676
3,0.6395882964134216,1.606382966041565,3.6914894580841064,0.2328500896692276,10.047872543334961,5.952127456665039,0.3930034935474396,0.580217719078064,8.441489219665527,2.2606382369995117
0,0.46841853857040405,0.6918090581893921,5.180907249450684,0.09311508387327194,10.350618362426758,5.649381160736084,0.0873255580663681,0.28575924038887024,9.658809661865234,0.46847379207611084,0.49777987599372864,3.8563830852508545,0.05319149047136307,0.6708654165267944,15.946808815002441,0.05319149047136307,0.0,0.0,12.090425491333008,0.0
1,0.5329742431640625,0.7077195048332214,3.237478017807007,0.09059196710586548,12.309958457946777,3.6900413036346436,0.13248403370380402,0.283441424369812,11.602239608764648,0.4525633454322815,0.497501403093338,3.420212745666504,1.4042552709579468,0.6699302792549133,14.159574508666992,1.8404254913330078,0.2021719515323639,0.11150794476270676,10.739361763000488,0.43617022037506104
0,0.41967326402664185,0.5604007244110107,7.830288887023926,0.09325694292783737,7.570418357849121,8.429581642150879,0.057171531021595,0.36692196130752563,7.0100178718566895,0.5992928743362427,0.49394145607948303,3.835106372833252,0.228723406791687,0.688030481338501,15.75,0.25,0.015070919878780842,0.006648936774581671,11.91489315032959,0.021276595070958138
1,0.4897114634513855,0.6741307973861694,4.764289855957031,0.09181942045688629,10.748969078063965,5.251031398773193,0.09626256674528122,0.3004911541938782,10.074837684631348,0.486741304397583,0.48595812916755676,3.5106382369995117,1.3829786777496338,0.6749612092971802,14.271276473999023,1.728723406791687,0.1804584562778473,0.08468210697174072,10.760638236999512,0.34574466943740845
2,0.5391653776168823,0.6747201085090637,3.2875661849975586,0.08867107331752777,12.2268705368042,3.7731289863586426,0.14513613283634186,0.2990964949131012,11.55215072631836,0.4855627715587616,0.49297139048576355,3.335106372833252,1.8829786777496338,0.6792610287666321,13.60106372833252,2.3989362716674805,0.20341947674751282,0.14273475110530853,10.265957832336426,0.5159574747085571
3,0.5624262094497681,0.6317030191421509,2.972893238067627,0.08619359880685806,12.498526573181152,3.5014731884002686,0.16477203369140625,0.3243566155433655,11.86682415008545,0.528579831123352,0.4886796772480011,3.297872304916382,1.957446813583374,0.6881267428398132,13.484042167663574,2.5159573554992676,0.22810280323028564,0.1375781148672104,10.18617057800293,0.5585106611251831
4,0.5702303051948547,0.5851502418518066,3.080730676651001,0.08444184809923172,12.343547821044922,3.6564526557922363,0.17871609330177307,0.34674912691116333,11.758397102355957,0.5757218599319458,0.49551916122436523,3.3244681358337402,1.7765957117080688,0.6891778707504272,13.691489219665527,2.3085105419158936,0.21255066990852356,0.1378757208585739,10.367021560668945,0.5319148898124695
5,0.5918332934379578,0.5509722828865051,2.78550386428833,0.08151084929704666,12.604596138000488,3.3954036235809326,0.19447781145572662,0.3701924979686737,12.053624153137207,0.6098998188972473,0.5002539753913879,3.4840426445007324,1.1808511018753052,0.6631629467010498,14.441489219665527,1.558510661125183,0.19361701607704163,0.09738686680793762,10.957447052001953,0.3776595890522003
6,0.6056607961654663,0.5167943239212036,2.787271738052368,0.07977733761072159,12.569239616394043,3.430760145187378,0.20311687886714935,0.39789822697639465,12.052445411682129,0.6434885263442993,0.4866931736469269,3.414893627166748,1.648936152458191,0.6883451342582703,13.91489315032959,2.085106372833252,0.1801418513059616,0.11016970127820969,10.5,0.43617022037506104
0,0.4825809895992279,0.601060688495636,5.611667633056641,0.09248439222574234,9.829699516296387,6.170300483703613,0.09721953421831131,0.34289926290512085,9.228638648986816,0.5586329102516174,0.49289470911026,1.2819149494171143,8.154254913330078,0.7797189354896545,5.260638236999512,10.739361763000488,0.24126982688903809,0.6570965647697449,3.9787232875823975,2.585106372833252
