epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m
0,0.5236902236938477,83.50963592529297,21.34475326538086,0.17927025258541107,99.59100341796875,156.40899658203125,0.8652705550193787,0.6179396510124207,16.081371307373047,135.06423950195312
1,0.5457393527030945,92.77730560302734,18.089935302734375,0.17154842615127563,112.11348724365234,143.88436889648438,0.8762717843055725,0.5754736661911011,19.33618927001953,125.79443359375
2,0.5604546666145325,100.91863250732422,15.618844032287598,0.17026449739933014,122.72590637207031,133.2740936279297,0.8854784965515137,0.5383648872375488,21.807279586791992,117.65524291992188
3,0.570953369140625,98.52033996582031,15.233405113220215,0.1689751148223877,120.71305847167969,135.2869415283203,0.8903159499168396,0.5492338538169861,22.192720413208008,120.05353546142578
4,0.5914973616600037,96.59314727783203,14.062098503112793,0.16674065589904785,119.9571762084961,136.04283142089844,0.899971604347229,0.5581862330436707,23.364025115966797,121.98072814941406
5,0.6067458987236023,91.6316909790039,13.760170936584473,0.16422082483768463,115.29764556884766,140.70236206054688,0.9056747555732727,0.5808379054069519,23.665952682495117,126.94218444824219
6,0.6205987334251404,88.76231384277344,13.173447608947754,0.1619066447019577,113.0149917602539,142.98501586914062,0.911892831325531,0.5939169526100159,24.252676010131836,129.8115692138672
7,0.626681387424469,86.20556640625,13.158458709716797,0.16049247980117798,110.47323608398438,145.52676391601562,0.9138984680175781,0.6055360436439514,24.26766586303711,132.36830139160156
8,0.6318214535713196,85.63597106933594,12.914346694946289,0.15917445719242096,110.14775085449219,145.8522491455078,0.9160659313201904,0.6082884669303894,24.511777877807617,132.93789672851562
9,0.6372755765914917,84.41755676269531,12.659528732299805,0.15802058577537537,109.18415069580078,146.8158416748047,0.9185265898704529,0.6137334704399109,24.7665958404541,134.15631103515625
10,0.6390593647956848,84.05567169189453,12.618844032287598,0.15747389197349548,108.86295318603516,147.1370391845703,0.9190897345542908,0.6153919100761414,24.807279586791992,134.51820373535156
11,0.6444175243377686,83.04068756103516,12.372591018676758,0.15627983212471008,108.0942153930664,147.90577697753906,0.9210682511329651,0.6199770569801331,25.05353355407715,135.53318786621094
12,0.647301197052002,83.17344665527344,12.143468856811523,0.15557074546813965,108.45610046386719,147.5438995361328,0.9229042530059814,0.6194751262664795,25.282655715942383,135.40042114257812
13,0.653495192527771,80.76445770263672,12.019271850585938,0.1545948088169098,106.17130279541016,149.8286895751953,0.9241437315940857,0.6302217245101929,25.40685272216797,137.80941772460938
14,0.6526742577552795,81.01284790039062,12.068522453308105,0.15419696271419525,106.37045288085938,149.62954711914062,0.9244472980499268,0.6292603015899658,25.357601165771484,137.56103515625
