epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_pred_m,val_pos_pred_m,val_precision_m,val_recall_m,val_tn_m,val_tp_m
0,0.5113151669502258,5.207547187805176,165.79244995117188,0.09516509622335434,76.86792755126953,179.132080078125,0.07503730803728104,0.7208036780357361,71.6603775024414,13.339622497558594,0.5016022324562073,61.45454406738281,1.2727272510528564,0.6148161888122559,254.09091186523438,1.9090908765792847,0.3030303120613098,0.00976611953228712,192.63636779785156,0.6363636255264282
1,0.5476880669593811,10.518867492675781,81.12264251708984,0.09311288595199585,166.84906005859375,89.15093994140625,0.09120825678110123,0.43699222803115845,156.33018493652344,8.028302192687988,0.5028175711631775,61.54545593261719,0.5454545617103577,0.5871365070343018,254.90908813476562,1.0909091234207153,0.3636363744735718,0.008467418141663074,193.36363220214844,0.5454545617103577
2,0.5794714093208313,9.264150619506836,81.51886749267578,0.09157926589250565,165.1981201171875,90.80188751220703,0.10419844835996628,0.5021506547927856,155.9339599609375,9.283019065856934,0.490958571434021,59.45454406738281,11.727272987365723,0.6184343695640564,241.63636779785156,14.363636016845703,0.18789449334144592,0.04222552478313446,182.18182373046875,2.6363637447357178
3,0.5978137850761414,8.669811248779297,80.80188751220703,0.09013371169567108,165.3207550048828,90.67924499511719,0.10875771194696426,0.5358822345733643,156.65093994140625,9.877358436584473,0.49340906739234924,60.272727966308594,8.181818008422852,0.6077640652656555,246.0,10.0,0.20411254465579987,0.028962677344679832,185.72727966308594,1.8181818723678589
4,0.6239526867866516,7.669811248779297,79.84906005859375,0.08788569271564484,165.27359008789062,90.7264175415039,0.12028016149997711,0.5841578841209412,157.60377502441406,10.877358436584473,0.48208048939704895,57.181819915771484,22.18181800842285,0.6295114159584045,228.90908813476562,27.090909957885742,0.18007665872573853,0.07855910807847977,171.72727966308594,4.909090995788574
5,0.6434656977653503,6.924528121948242,79.5943374633789,0.08565730601549149,164.78302001953125,91.21697998046875,0.1289864182472229,0.6221879124641418,157.85848999023438,11.622641563415527,0.48350533843040466,53.3636360168457,33.6363639831543,0.6545727252960205,213.63636779785156,42.3636360168457,0.2104552686214447,0.14022712409496307,160.27272033691406,8.727272987365723
6,0.6596535444259644,6.462264060974121,79.18868255615234,0.08387400209903717,164.72640991210938,91.2735824584961,0.13444936275482178,0.6527520418167114,158.26414489746094,12.084905624389648,0.4817112684249878,54.54545593261719,30.545454025268555,0.6366276144981384,217.90908813476562,38.09090805053711,0.20175914466381073,0.12080996483564377,163.36363220214844,7.545454502105713
7,0.6778421401977539,5.603773593902588,81.13207244873047,0.08095310628414154,161.92453002929688,94.07546997070312,0.13845567405223846,0.6973493099212646,156.3207550048828,12.94339656829834,0.48479118943214417,55.818180084228516,25.454545974731445,0.624958872795105,224.27272033691406,31.727272033691406,0.2004590481519699,0.10068051517009735,168.4545440673828,6.2727274894714355
8,0.7115375399589539,4.716980934143066,77.62264251708984,0.07731038331985474,164.5471649169922,91.45282745361328,0.15271730720996857,0.7499539852142334,159.83018493652344,13.830188751220703,0.47347167134284973,55.90909194946289,29.545454025268555,0.6375446915626526,220.27272033691406,35.727272033691406,0.17644089460372925,0.0990462601184845,164.36363220214844,6.181818008422852
9,0.7247987985610962,4.226415157318115,76.4056625366211,0.07410544157028198,165.27359008789062,90.7264175415039,0.15974797308444977,0.7713582515716553,161.0471649169922,14.320755004882812,0.4808717668056488,51.45454406738281,40.272727966308594,0.6605303287506104,205.09091186523438,50.90909194946289,0.21017442643642426,0.16939061880111694,153.63636779785156,10.636363983154297
10,0.732208251953125,4.066037654876709,74.66981506347656,0.07203995436429977,166.84906005859375,89.15093994140625,0.16327863931655884,0.7789626717567444,162.78302001953125,14.481132507324219,0.4888046085834503,52.181819915771484,35.0,0.6581612229347229,211.09091186523438,44.90909194946289,0.22033429145812988,0.15825556218624115,158.90908813476562,9.909090995788574
11,0.7543143033981323,3.4811320304870605,72.04717254638672,0.06837823987007141,168.8867950439453,87.11320495605469,0.1756618320941925,0.8120388984680176,165.40565490722656,15.066038131713867,0.49012744426727295,51.45454406738281,36.818180084228516,0.671407163143158,208.5454559326172,47.45454406738281,0.22257095575332642,0.17030204832553864,157.09091186523438,10.636363983154297
12,0.7640626430511475,3.301886796951294,69.84906005859375,0.06666208803653717,170.90565490722656,85.0943374633789,0.18116171658039093,0.822517454624176,167.60377502441406,15.245283126831055,0.48655804991722107,49.818180084228516,43.272727966308594,0.6938146948814392,200.4545440673828,55.54545593261719,0.22071748971939087,0.19668163359165192,150.63636779785156,12.272727012634277
13,0.7773162722587585,2.9905660152435303,67.74528503417969,0.06336388736963272,172.6981201171875,83.30188751220703,0.18946057558059692,0.8399246335029602,169.70755004882812,15.55660343170166,0.49026793241500854,47.181819915771484,49.818180084228516,0.7166683673858643,191.27272033691406,64.7272720336914,0.2289930284023285,0.23787645995616913,144.09091186523438,14.909090995788574
14,0.7811819314956665,3.0566036701202393,63.88679122924805,0.06185242906212807,176.6226348876953,79.37735748291016,0.1982591599225998,0.8317035436630249,173.5660400390625,15.49056625366211,0.48049792647361755,53.09090805053711,35.45454406738281,0.7069644331932068,211.5454559326172,44.45454406738281,0.20123928785324097,0.14398664236068726,158.4545440673828,9.0
15,0.7864171862602234,2.8867924213409424,63.91509246826172,0.060191333293914795,176.42453002929688,79.57546997070312,0.200574591755867,0.8421622514724731,173.53773498535156,15.660377502441406,0.49194326996803284,50.09090805053711,40.3636360168457,0.7290351390838623,203.63636779785156,52.3636360168457,0.2298746556043625,0.19225220382213593,153.5454559326172,12.0
